NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
90,경기도 화성시 동탄구 송동,696,696,0,동탄레이크자이더테라스,월세,96.5618,202605,13,"33,500",74,4,2018,동탄순환대로1길 64,202607~202807,갱신,-,"33,500",68.0,연립다세대,연립다세대,2026-05
91,서울특별시 서초구 서초동,1558-17,1558,17,서초빌리지프라자,전세,89.93,202605,13,"37,000",0,5,2002,반포대로22길 59,202605~202805,갱신,사용,"35,280",0.0,연립다세대,연립다세대,2026-05
92,서울특별시 노원구 하계동,252-4,252,4,코오롱마들102,전세,92.11,202605,13,"40,000",0,1,1996,공릉로62길 40,202607~202807,신규,-,,,연립다세대,연립다세대,2026-05
93,제주특별자치도 제주시 이호일동,1768-2,1768,2,파클리프,월세,93.7722,202605,13,"1,500",125,2,2018,현사안길 27,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
94,서울특별시 송파구 잠실동,236-8,236,8,(236-8),전세,101.87,202605,12,"55,000",0,4,2002,삼전로7길 24,202607~202807,신규,-,,,연립다세대,연립다세대,2026-05
95,서울특별시 송파구 문정동,93-26,93,26,로얄빌라,월세,98.76,202605,12,"3,000",65,1,1989,새말로13길 16,202605~202805,신규,-,,,연립다세대,연립다세대,2026-05
96,경기도 파주시 와동동,1411,1411,0,해솔마을8단지운정아이파크더테라스,전세,85.6825,202605,12,"42,700",0,1,2022,가온로 200,202607~202807,신규,-,,,연립다세대,연립다세대,2026-05
97,인천광역시 미추홀구 문학동,396-11,396,11,동성파크빌1차,전세,86.92,202605,12,"11,900",0,4,2002,문학길125번길 17-10,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
98,경기도 과천시 부림동,12-6,12,6,(12-6)로즈빌,월세,100.9,202605,12,"45,000",60,1,2000,부림2길 62,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
99,인천광역시 강화군 강화읍 국화리,60-5,60,5,전원로얄타운,월세,101.47,202605,11,"1,000",45,1,1994,당골길 16-10,202605~202705,신규,-,,,연립다세대,연립다세대,2026-05
100,경기도 용인시 처인구 남사읍 북리,677-1,677,1,한성빌라2차,월세,86.72,202605,11,"2,000",60,1,1997,경기동로 125-8,202607~202807,신규,-,,,연립다세대,연립다세대,2026-05
101,대구광역시 중구 남산동,2210-51,2210,51,(2210-51),월세,87.09,202605,11,300,25,1,1993,남산로6안길 13,202605~202905,신규,-,,,연립다세대,연립다세대,2026-05
