NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
111,경기도 고양시 덕양구 향동동,4**,12m미만,99.92,월세,202606,26,"3,000",147,2023.0,꽃내음1길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
112,서울특별시 은평구 불광동,1**,25m이상,90.0,전세,202606,26,"7,000",0,1988.0,연서로,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
113,경기도 용인시 처인구 원삼면 맹리,2**,8m미만,99.37,월세,202606,26,"5,000",50,2014.0,맹리로,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
114,서울특별시 중랑구 면목동,6**,8m미만,97.0,전세,202606,26,"27,000",0,2001.0,사가정로46길,202606~202806,갱신,사용,"27,000",0.0,단독다가구,단독다가구,2026-06
115,인천광역시 영종구 운북동,7**,8m미만,85.43,월세,202606,26,"2,000",100,,백운로527번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
116,경기도 양평군 옥천면 옥천리,1**,8m미만,89.12,전세,202606,26,"25,000",0,2018.0,마유산로,202609~202809,신규,-,,,단독다가구,단독다가구,2026-06
117,부산광역시 북구 덕천동,8**,12m미만,88.8,월세,202606,26,100,30,2010.0,모분재로15번길,202607~202707,신규,-,,,단독다가구,단독다가구,2026-06
118,경기도 화성시 만세구 남양읍 남양리,2***,12m미만,91.88,월세,202606,26,"7,000",185,2022.0,역골로,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
119,대구광역시 남구 대명동,5**,12m미만,100.86,월세,202606,26,"3,000",50,1993.0,현충로1길,202607~202707,신규,-,,,단독다가구,단독다가구,2026-06
120,경기도 과천시 과천동,1**,12m미만,97.81,월세,202606,26,"10,000",180,2008.0,광창로,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
121,충청북도 청주시 흥덕구 송절동,7**,12m미만,98.28,전세,202606,26,"20,300",0,2018.0,송화로166번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
122,경상북도 경산시 계양동,6**,12m미만,85.5,월세,202606,26,"1,000",67,2016.0,원효로32길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
123,충청북도 청주시 상당구 용암동,1**,8m미만,99.0,월세,202606,26,"1,000",75,2004.0,낙가산로,-,-,-,,,단독다가구,단독다가구,2026-06
