품목코드,품목명,Tier,가중치,모델,pred_2026-09
A019190,편의점도시락,A,0.4,비계절ETS,119.41607099690619
A019200,삼각김밥,A,0.4,비계절ETS,116.4867216651285
A021010,커피,A,2.6,비계절ETS,146.5743289460791
A021020,차,A,0.9,비계절ETS,124.03340257056087
A022010,주스,A,1.4,비계절ETS,136.67154837890592
A022020,두유,A,0.8,비계절ETS,127.88585507281847
A022030,생수,A,1.3,비계절ETS,116.94305936980614
A022040,기능성음료,A,0.5,비계절ETS,119.78344886305634
A022050,탄산음료,A,1.6,비계절ETS,122.46560024093976
A022060,기타음료,A,0.6,비계절ETS,123.82965244853061
B011010,소주,A,1.7,비계절ETS,108.97540978792011
B011020,과실주,A,0.8,비계절ETS,103.3400361490183
B011030,맥주,A,3.0,비계절ETS,116.32950269575831
B011040,막걸리,A,0.5,비계절ETS,123.95001262579326
B011050,양주,A,0.4,비계절ETS,115.11170253699237
B011060,약주,A,0.1,비계절ETS,105.94503521779399
C011010,남자외의,A,4.4,비계절ETS,120.41848539447726
C011020,남자상의,A,1.5,비계절ETS,115.18872693419463
C011030,남자하의,A,1.3,비계절ETS,123.82085728421578
C011040,남자내의,A,0.7,비계절ETS,111.73955934506695
C012010,여자외의,A,6.2,비계절ETS,115.8822513212892
C012020,원피스,A,1.8,비계절ETS,135.74820704847278
C012030,여자상의,A,1.5,비계절ETS,117.4974878681009
C012040,여자하의,A,2.4,비계절ETS,124.02593426717796
C012050,여자내의,A,1.8,비계절ETS,110.20647466474766
C013010,점퍼,A,3.3,비계절ETS,120.6558263863537
C013020,티셔츠,A,4.6,비계절ETS,123.93052212779592
C013030,스웨터,A,0.6,비계절ETS,118.80069924503856
C013040,청바지,A,1.6,비계절ETS,124.65322712957672
C013050,운동복,A,2.3,비계절ETS,112.84914525520043
C013060,등산복,A,0.5,비계절ETS,110.45386662718862
C014010,유아동복,A,4.6,비계절ETS,120.18452271512056
C015010,양말,A,0.9,비계절ETS,104.19599715680691
C015020,모자,A,0.6,비계절ETS,113.33739423523345
C015030,장갑,A,0.2,비계절ETS,158.27480461260032
C016010,의복수선료,A,0.2,비계절ETS,135.59825745687291
C016020,세탁료,A,1.1,비계절ETS,154.85666248923937
C021010,아동화,A,0.9,비계절ETS,116.35518731545339
C021020,구두,A,2.0,비계절ETS,114.44536976806361
C021030,운동화,A,4.4,비계절ETS,115.04987285554901
C021040,실내화,A,0.2,비계절ETS,128.46791849449244
D011010,전세,A,54.2,비계절ETS,106.55813213196335
D011020,월세,A,44.9,비계절ETS,106.16903500168318
D031010,주택수선재료,A,3.4,비계절ETS,128.64676107865247
D031020,설비수리비,A,5.9,비계절ETS,127.14338347341543
D041010,상수도료,A,4.5,비계절ETS,119.65592259527185
D042010,공동주택관리비,A,21.8,비계절ETS,132.1503966032095
E011010,장롱,A,1.3,비계절ETS,127.9794982554281
E011020,침대,A,2.7,비계절ETS,134.29489320715072
E011030,거실장,A,0.4,비계절ETS,128.1366430705023
E011040,소파,A,1.3,비계절ETS,137.3256723581808
E011050,책상,A,0.4,비계절ETS,131.22527945005362
E011060,의자,A,0.4,비계절ETS,120.38374405329733
E011070,식탁,A,0.9,비계절ETS,130.68021852219667
E011080,싱크대,A,1.3,비계절ETS,158.30719002217336
E021010,침구,A,2.6,비계절ETS,117.20234485148563
E021020,커튼,A,0.4,비계절ETS,108.42938387817308
E031010,전기밥솥,A,0.5,비계절ETS,98.1580085596525
E031020,가스레인지,A,0.4,비계절ETS,106.37053626672416
E031030,전자레인지,A,0.1,비계절ETS,106.44382256233834
E031040,전기레인지,A,0.2,비계절ETS,103.4496369589708
E031050,냉장고,A,2.4,비계절ETS,100.60703056616474
E031060,김치냉장고,A,1.1,비계절ETS,111.00545914487475
E031070,에어컨,A,1.5,비계절ETS,116.85677043824386
E031080,선풍기,A,0.4,비계절ETS,89.72572713838072
E031090,공기청정기,A,0.6,비계절ETS,91.33929063992417
E031100,세탁기,A,1.0,비계절ETS,103.0206802721736
E031110,의류건조기,A,1.1,비계절ETS,112.20992582313819
E031120,식기세척기,A,0.2,비계절ETS,101.71335726491253
E031130,청소기,A,1.1,비계절ETS,100.05257450690924
E031140,소형주방가전,A,0.8,비계절ETS,115.33965412778193
E031150,보온매트,A,0.4,비계절ETS,114.89413568144982
E032010,가전제품수리비,A,2.4,비계절ETS,161.95818320521275
E032020,가전제품렌탈비,A,2.5,비계절ETS,97.21411242162748
E041010,식기,A,0.8,비계절ETS,131.0571481964035
E041020,컵,A,0.5,비계절ETS,107.39878203433156
E041030,솥,A,0.2,비계절ETS,123.71462573783647
E041040,프라이팬,A,0.6,비계절ETS,132.43469852335477
E041050,냄비,A,0.5,비계절ETS,129.15829938442945
E041060,수저,A,0.3,비계절ETS,115.3639438352656
E041070,밀폐용기,A,0.7,비계절ETS,125.72814058229027
E041080,부엌용용구,A,0.4,비계절ETS,131.62677269236193
E051010,보일러,A,1.5,비계절ETS,121.15026446678971
E051020,건전지,A,0.3,비계절ETS,150.91313407522176
E051030,소형가사용품,A,1.3,비계절ETS,118.88946701083157
E061010,세탁세제,A,1.7,비계절ETS,128.11549390710107
E061020,섬유유연제,A,0.1,비계절ETS,155.50006401299143
