품목명,Tier,가중치,MAPE%,방향적중률
초등학생학원비,A,7.6,0.1660926544745432,1.0
중학생학원비,A,13.8,0.1741165800716861,1.0
고등학생학원비,A,13.8,0.12391223290694861,1.0
음악학원비,A,3.0,0.13909107090751474,1.0
미술학원비,A,2.6,0.16482380548306613,0.6666666666666666
운동학원비,A,5.7,0.2831420013446314,0.6666666666666666
전산학원비,A,0.5,0.17250713803854342,0.16666666666666666
가정학습지,A,3.5,0.8202171969749524,0.0
이러닝이용료,A,0.7,0.9985501904190119,0.0
학교보충교육비,A,1.4,0.9585974330224982,0.6666666666666666
기타학원비,A,0.2,0.08970810263221125,0.5
취업학원비,A,2.0,0.6293712877385204,0.16666666666666666
외국어학원비,A,0.5,0.1849346893336243,0.6666666666666666
운동강습료,A,3.7,0.0733701163955572,0.5
김치찌개백반,A,4.8,0.19373637425752963,1.0
된장찌개백반,A,4.3,0.2624327080479635,0.8333333333333334
비빔밥,A,2.4,0.21518716976460323,1.0
설렁탕,A,2.0,0.2645436717569013,0.3333333333333333
갈비탕,A,2.2,0.23201829936914706,0.8333333333333334
삼계탕,A,2.2,0.19457017435004545,1.0
해물찜,A,4.1,0.07942847985468116,0.8333333333333334
해장국,A,5.0,0.20609727181435802,0.6666666666666666
불고기,A,1.1,0.2309547917575862,0.3333333333333333
쇠고기(외식),A,8.3,0.10278449208717168,1.0
돼지갈비(외식),A,6.1,0.11740313681991478,1.0
삼겹살(외식),A,7.2,0.1299990683745888,1.0
오리고기(외식),A,1.5,0.17387049904680402,0.8333333333333334
냉면,A,2.4,0.21532387796374322,0.8333333333333334
칼국수,A,2.7,0.11275648889947153,1.0
죽(외식),A,1.7,0.2344005114620855,0.0
생선초밥,A,2.7,0.0958078479141483,0.6666666666666666
생선회(외식),A,10.3,0.17341916418208642,1.0
자장면,A,2.2,0.17586340909756598,0.6666666666666666
짬뽕,A,2.4,0.22658562026896584,0.8333333333333334
탕수육,A,2.1,0.1475211055045497,0.6666666666666666
볶음밥,A,0.9,0.16925491429173647,0.8333333333333334
돈가스,A,2.2,0.212927162597273,0.6666666666666666
스테이크,A,1.5,0.11677542643623831,1.0
스파게티,A,1.5,0.11483791624533797,0.8333333333333334
라면(외식),A,0.7,0.21032310506724664,0.6666666666666666
김밥,A,3.4,0.24831516105641802,0.8333333333333334
떡볶이,A,3.1,0.2035814732733983,0.6666666666666666
치킨,A,8.6,0.25837343819532727,0.8333333333333334
햄버거,A,4.3,0.6884201157429944,0.5
피자,A,4.1,0.021932557428303658,0.0
쌀국수,A,0.6,0.13951862988903163,0.8333333333333334
커피(외식),A,8.8,0.0916446265540696,0.3333333333333333
기타음료(외식),A,0.5,0.037908312619171054,0.0
소주(외식),A,2.5,0.23831114711794774,0.3333333333333333
맥주(외식),A,4.8,0.22967248874375645,0.6666666666666666
막걸리(외식),A,0.3,0.09540095764782201,0.16666666666666666
구내식당식사비,A,11.9,0.14115072343760826,1.0
도시락,A,0.6,0.7067508464885514,0.16666666666666666
호텔숙박료,A,2.1,5.224490300630825,0.3333333333333333
여관숙박료,A,1.5,0.291815323536117,0.5
콘도이용료,B,0.8,5.517454381858811,0.8333333333333334
학교기숙사비,A,0.9,0.49904157811399774,0.0
휴양시설이용료,A,1.4,4.016570299201765,0.0
