품목명,Tier,모델,가중치,평균오차%,표준편차%,방향일치개월
건전지,A,비계절ETS,0.3,-0.19795244805970888,1.1907311182970868,6
소형가사용품,A,비계절ETS,1.3,-0.4949418557130918,1.989038120856857,9
세탁세제,A,비계절ETS,1.7,0.5919845380605175,3.1144945659074463,9
섬유유연제,A,비계절ETS,0.1,-0.6110314586561992,2.0434113195385586,6
전구,A,비계절ETS,0.2,-0.5816170810538418,1.6548853211580279,11
부엌용세제,A,비계절ETS,0.6,-0.20738690328868178,2.2185654356837845,5
청소용세제,A,비계절ETS,0.2,-0.0359513738778797,0.20926733721194615,7
살충제,A,비계절ETS,0.3,-0.04244225022878675,1.5687249873381202,9
가정용비닐용품,A,비계절ETS,0.6,-1.0173430874953988,2.0846356902844616,6
키친타월,A,비계절ETS,1.0,0.1772803462607857,2.06333083049463,3
방향제,A,비계절ETS,0.3,0.9187929718065101,0.9630328104416415,9
습기제거제,A,비계절ETS,0.1,-0.5415572947214818,2.6285659364047262,6
가사도우미료,A,비계절ETS,2.4,-0.03387815623175161,0.2380440617904726,5
간병도우미료,A,비계절ETS,2.6,-0.1102534035801032,0.6390777290947012,4
감기약,A,비계절ETS,0.4,0.0006200694115901519,0.09294819688508085,5
진통제,A,비계절ETS,0.4,-0.021905890345778806,0.11472392902706774,7
소화제,A,비계절ETS,0.3,0.0076886072950300985,0.08548997052527715,8
위장약,A,비계절ETS,0.2,-0.08594008420067667,0.09495981065983165,10
진해거담제,A,비계절ETS,0.2,-0.00342150429047864,0.24470553188901947,5
소염진통제,A,비계절ETS,0.6,0.025101229648691246,0.050666180154673834,9
피부질환제,A,비계절ETS,0.3,-0.029117304148827045,0.14419411907300192,6
치과구강용약,A,비계절ETS,0.3,0.016728524034502302,0.05218047278188052,7
조제약,A,비계절ETS,5.8,0.053166011958548726,0.0946776973676536,8
한방약,A,비계절ETS,2.7,-0.015181253337667613,0.20085254034516506,8
인삼,A,비계절ETS,0.3,-0.6929463375585638,0.9410759923003785,9
홍삼,A,비계절ETS,1.1,-0.23854373196411668,4.808459391972506,10
비타민제,A,비계절ETS,1.2,-0.04567705853277529,0.12327105033141404,7
건강기능식품,A,비계절ETS,6.5,0.11349827916203525,0.5270882403001017,8
유산균,A,비계절ETS,1.2,0.13414323124188515,1.1538560001134317,4
병원약품,A,비계절ETS,3.5,0.014258507561966277,0.09772656659986774,5
종이기저귀,A,비계절ETS,1.4,-0.006520919900863374,0.5980762796014221,6
생리대,A,비계절ETS,1.0,1.1025733525160883,3.8975785095264803,5
마스크,A,비계절ETS,1.6,-0.013046696305036624,0.20036871438698825,7
반창고,A,비계절ETS,0.1,-0.062423486502004334,0.18660937162645913,6
안경,A,비계절ETS,1.0,-0.028813393995839032,0.12144559882486756,7
콘택트렌즈,A,비계절ETS,1.4,-0.32823799617970967,0.516427382279006,8
의료측정기,A,비계절ETS,0.2,-0.07018918401099299,0.2993283606829698,6
보청기,A,비계절ETS,0.6,0.03335604031171571,0.0034732934192758273,12
건강기기렌탈비,A,비계절ETS,1.5,-0.9545761516349515,4.684386508393084,8
치료재료,A,비계절ETS,1.5,0.09637975459765596,0.8980011991567945,5
건강검진비,A,비계절ETS,1.2,-0.012352574145297862,0.24058034195189326,5
치과보철료,A,비계절ETS,6.8,-0.25923044003414636,0.1815771825303972,10
병원검사료,A,비계절ETS,1.1,-0.12563480578037767,0.4244803097306601,6
소형승용차,A,비계절ETS,1.0,-0.23322397362000657,0.5487302090993286,3
중형승용차,A,비계절ETS,1.0,-0.11263040212380165,0.753112902684262,8
대형승용차,A,비계절ETS,3.2,-0.4859359798631804,1.9828953168721548,5
경승용차,A,비계절ETS,0.6,-0.11999003807408219,0.34934564728909734,3
다목적승용차,A,비계절ETS,7.7,-0.13920324521438499,0.4297314903516505,9
수입승용차,A,비계절ETS,9.3,-0.012897533563880468,1.6443547662459872,7
전기동력차,A,비계절ETS,5.1,-0.5241188553900236,1.6721040229897373,8
자전거,A,비계절ETS,0.5,-0.16015017739350398,0.2408031988500368,6
자동차용품,A,비계절ETS,0.9,-0.7300768582504759,1.7008508772187259,10
블랙박스,A,비계절ETS,0.2,0.014811759845769329,0.9853820960247517,6
자동차타이어,A,비계절ETS,0.9,-0.03846984699673609,0.18713027930061008,9
자동차수리비,A,비계절ETS,6.3,-0.13804153254276713,0.5609979482919865,5
엔진오일교체료,A,비계절ETS,1.0,-0.24411221669214575,2.5063291036939592,5
세차료,A,비계절ETS,0.5,-0.03031472409636145,0.34475141795743697,6
자동차학원비,A,비계절ETS,0.5,0.0720173195934413,0.1352054450098241,9
주차료,A,비계절ETS,1.2,-0.0006266815524880917,0.2326395715794346,5
승용차임차료,B,계절ETS,3.2,1.2283439366099451,12.398020832943402,8
대리운전이용료,A,비계절ETS,0.4,-0.020004042240599016,0.1491473879306536,4
자동차검사료,A,비계절ETS,0.3,0.0,0.0,12
국내항공료,B,계절ETS,1.0,-1.86871642780938,6.6797626786975535,7
여객선료,A,비계절ETS,0.2,-0.6463562625573047,1.7638759972904647,7
이삿짐운송료,A,비계절ETS,1.0,-0.06337083105318399,0.5741392826559558,5
택배이용료,A,비계절ETS,1.9,0.07426359262362178,0.11726200195411197,9
휴대전화기,A,비계절ETS,10.4,-0.46828189712827034,0.4285120519833974,12
휴대전화기수리비,A,비계절ETS,0.4,-0.14750626575556502,3.8463174780539213,4
TV,A,비계절ETS,1.9,-0.3517829158555094,2.1288385302554245,7
영상음향기기,A,비계절ETS,0.9,-0.4391416116342071,2.173049787905463,6
컴퓨터,A,비계절ETS,3.0,-2.009963906575907,2.3430064926147867,10
컴퓨터수리비,A,비계절ETS,0.1,-0.9536124883763106,3.156866388043839,3
휴대용멀티미디어기기,A,비계절ETS,1.2,-1.5946350559963929,3.824063476891719,12
컴퓨터소모품,A,비계절ETS,0.7,-0.4465337165076149,1.3065397350129473,4
저장장치,A,비계절ETS,0.1,-2.5982415642057863,4.471921222585565,4
악기,A,비계절ETS,0.3,-0.06328786881254399,0.22581069144009025,6
헬스기구,A,비계절ETS,1.1,-0.680402138745296,2.7646304236121675,5
장난감,A,비계절ETS,2.9,-0.036968141920885676,0.9242144631460744,7
레저용품,A,비계절ETS,1.6,0.09272218754638879,1.2354085822401133,6
운동용품,A,비계절ETS,2.1,-0.7707354289336892,4.705366632716015,2
화초,A,비계절ETS,0.7,-0.3216725013160679,6.207875306183541,6
원예용품,A,비계절ETS,0.4,-0.11732477143277743,0.27297854238296787,7
반려동물용품,A,비계절ETS,3.3,-0.08248232369609317,0.8757796640171926,8
반려동물관리비,A,비계절ETS,2.6,-0.07735414293263483,0.10258458868180395,7
수영장이용료,A,비계절ETS,0.2,0.046058360910565914,0.12211560344851007,8
볼링장이용료,A,비계절ETS,0.2,-0.06212526935727125,0.16402652233536566,7
헬스클럽이용료,A,비계절ETS,1.5,-0.0007945084670005232,0.19567934355459177,6
골프연습장이용료,A,비계절ETS,2.3,0.057218786753339516,0.11822025746846233,8
골프장이용료,A,비계절ETS,3.0,-0.038743519979471265,0.6910620081556811,5
당구장이용료,A,비계절ETS,0.5,-0.049568074060149625,0.13152202907552987,6
노래방이용료,A,비계절ETS,0.5,0.05222705806551469,0.21656504809007265,8
PC방이용료,A,비계절ETS,0.3,0.004582378765578133,0.1603548935437697,7
놀이시설이용료,A,비계절ETS,2.3,-0.05594757073011417,2.7176453310966124,7
운동경기관람료,A,비계절ETS,0.2,-0.05747997440899011,0.6248599798026548,5
영화관람료,A,비계절ETS,1.0,0.0001208647119415347,8.459081026621267e-05,12
공연예술관람료,A,비계절ETS,0.7,-0.1848674373209144,0.8219651057234757,3
관람시설이용료,A,비계절ETS,0.6,-0.07069404493006946,0.5678151680312274,11
독서실비,A,비계절ETS,0.8,0.09711629630646801,0.3262993970381933,5
문화강습료,A,비계절ETS,0.9,0.05014313991943031,0.10985338667435775,9
온라인콘텐츠이용료,A,비계절ETS,8.0,0.11018541095526425,0.018614950473245316,12
사진서비스료,A,비계절ETS,1.7,-0.2755714224827887,1.0236102916022283,7
유아용학습교재,A,비계절ETS,0.3,-0.17998088457505856,0.7185317386130361,3
초등학교학습서,A,비계절ETS,0.6,-0.06657798387451012,0.32332111283475257,3
중학교학습서,A,비계절ETS,0.6,-1.0931998575120663,2.442589460236407,5
고등학교학습서,A,비계절ETS,0.6,0.11902265287127083,0.3528278448997053,8
대학교재,A,비계절ETS,0.2,0.10946338519567982,0.16557223856612896,12
서적,A,비계절ETS,1.5,-0.22473789562445276,0.4246421077087216,7
신문,A,비계절ETS,0.4,0.06479542353968046,0.0012245138026095426,12
종이문구,A,비계절ETS,0.5,-0.17952324766562486,0.46815974249414344,7
기타문구,A,비계절ETS,0.1,-0.055019886905273784,0.8217315616619318,6
필기구,A,비계절ETS,0.4,-0.113136122195998,0.5574746952413974,8
회화용구,A,비계절ETS,0.2,0.06524700157591673,0.24016393664994737,7
국내단체여행비,A,비계절ETS,2.0,-0.8885635939182954,6.915056778886031,7
해외단체여행비,A,비계절ETS,5.5,-1.7181861865065262,6.152448229452544,6
초등학생학원비,A,비계절ETS,7.6,-0.023059839311052415,0.15940446928099283,4
중학생학원비,A,비계절ETS,13.8,-0.08979608959178724,0.13622003495955098,8
고등학생학원비,A,비계절ETS,13.8,-0.03861902984446023,0.11853567406144573,7
음악학원비,A,비계절ETS,3.0,-0.011287733251416514,0.15350412920404755,5
미술학원비,A,비계절ETS,2.6,0.036423028783733526,0.18173968056795778,8
운동학원비,A,비계절ETS,5.7,0.03827206859602525,0.26977253860933165,9
전산학원비,A,비계절ETS,0.5,0.036480657500780986,0.1563963781737088,10
가정학습지,A,비계절ETS,3.5,-0.36640711748670857,1.0528390448818394,2
이러닝이용료,A,비계절ETS,0.7,-0.5464787355674366,1.8544999916999862,2
학교보충교육비,A,비계절ETS,1.4,0.045603943097326634,1.2077271285721451,8
기타학원비,A,비계절ETS,0.2,-0.029203486365097776,0.08631583035985425,7
취업학원비,A,비계절ETS,2.0,0.16977053724813693,0.8000629701339752,8
외국어학원비,A,비계절ETS,0.5,0.03371746251435019,0.18448525465074053,8
운동강습료,A,비계절ETS,3.7,0.03867963806230444,0.0901732700869222,8
김치찌개백반,A,비계절ETS,4.8,0.004425060521597982,0.1751782863601465,7
된장찌개백반,A,비계절ETS,4.3,-0.030493827084788632,0.24026410924201216,7
비빔밥,A,비계절ETS,2.4,-0.023067804712232663,0.25350045269975485,4
설렁탕,A,비계절ETS,2.0,-0.011066457648242397,0.22947919404461117,7
갈비탕,A,비계절ETS,2.2,-0.011858282981090809,0.23086957230945757,5
삼계탕,A,비계절ETS,2.2,-0.0708909593386677,0.1720446534727155,8
해물찜,A,비계절ETS,4.1,-0.027378140719721777,0.10847858744991624,7
해장국,A,비계절ETS,5.0,-0.06984153940377276,0.21353675927923968,8
불고기,A,비계절ETS,1.1,0.0018831487543356645,0.23259724621179897,6
쇠고기(외식),A,비계절ETS,8.3,-0.01796829375031205,0.15174856066348305,7
돼지갈비(외식),A,비계절ETS,6.1,-0.02661338985162005,0.16364267933665547,8
삼겹살(외식),A,비계절ETS,7.2,-0.04388487961740047,0.15336796222915552,4
오리고기(외식),A,비계절ETS,1.5,-0.02635310920556184,0.3863293119929485,4
냉면,A,비계절ETS,2.4,-0.03883288814786636,0.21062114587450304,6
칼국수,A,비계절ETS,2.7,-0.03294030153334807,0.12887761552601443,7
죽(외식),A,비계절ETS,1.7,-0.1124054472775663,0.6974957432154478,2
생선초밥,A,비계절ETS,2.7,-0.010392274551832567,0.1228925761231436,7
생선회(외식),A,비계절ETS,10.3,-0.04326740688756692,0.22160533118085612,6
자장면,A,비계절ETS,2.2,-0.025909088285201675,0.19669553353023866,6
짬뽕,A,비계절ETS,2.4,-0.05878643542081968,0.21258253745295963,7
탕수육,A,비계절ETS,2.1,-0.027406359602437144,0.15144643627167786,5
볶음밥,A,비계절ETS,0.9,-0.0435716041255027,0.1562185969062051,8
돈가스,A,비계절ETS,2.2,-0.008541686880079244,0.21889980764768197,6
스테이크,A,비계절ETS,1.5,-0.049090875196375054,0.2526152911135114,5
스파게티,A,비계절ETS,1.5,-0.002248803331031826,0.13716684073797025,7
라면(외식),A,비계절ETS,0.7,-0.035538940054144263,0.18614813245212747,8
김밥,A,비계절ETS,3.4,-0.0825172165530358,0.24399751844473247,8
떡볶이,A,비계절ETS,3.1,-0.03054913063096337,0.21515659465686704,5
치킨,A,비계절ETS,8.6,0.008591265463556937,0.41002083343036744,7
햄버거,A,비계절ETS,4.3,0.02761902249725943,2.0429816548258337,5
피자,A,비계절ETS,4.1,0.023254046423773673,0.02118421941738593,11
쌀국수,A,비계절ETS,0.6,-0.0004231142556118718,0.14963864982913075,9
커피(외식),A,비계절ETS,8.8,0.11082553976905975,0.038004680763468635,12
기타음료(외식),A,비계절ETS,0.5,0.02967066633837727,0.023442054728443754,11
소주(외식),A,비계절ETS,2.5,-0.1376486223964698,0.4225924096043342,7
맥주(외식),A,비계절ETS,4.8,-0.07866964435376832,0.30909169123030095,5
막걸리(외식),A,비계절ETS,0.3,0.007154254153900444,0.22053709468287774,6
구내식당식사비,A,비계절ETS,11.9,0.049873852227754874,0.19444468713136792,7
도시락,A,비계절ETS,0.6,-0.3365613290578604,1.2054113562373845,5
호텔숙박료,A,비계절ETS,2.1,-1.3102886451707325,5.811345561308348,6
여관숙박료,A,비계절ETS,1.5,-0.0423083090885382,0.4304752814524232,7
콘도이용료,B,계절ETS,0.8,0.6686006662886044,7.403906089961622,6
학교기숙사비,A,비계절ETS,0.9,-0.20299151129682125,0.8204270291239645,3
휴양시설이용료,A,비계절ETS,1.4,0.7698850525785854,9.275774874449096,6
목욕료,A,비계절ETS,0.6,-0.04379736200058853,0.2361081617504578,5
찜질방이용료,A,비계절ETS,0.6,-0.024672980493977106,0.28974913731059926,4
이발료,A,비계절ETS,0.3,-0.05124114566313742,0.1794205633241769,6
미용료,A,비계절ETS,7.3,0.02156834229519955,0.1942839087645313,9
뷰티미용료,A,비계절ETS,2.2,-0.018435104377320734,0.2133183160816259,5
면도기,A,비계절ETS,0.4,-0.15394457030432238,1.490140451735017,4
헤어드라이어,A,비계절ETS,0.7,-0.5137874033507394,2.7577675715000973,5
칫솔,A,비계절ETS,0.4,-0.2812618424891824,1.9506411629121951,8
치약,A,비계절ETS,0.5,-0.6018817577286736,2.8675413118437745,7
비누,A,비계절ETS,0.3,-0.16767228983810875,1.4464322049528986,6
샴푸,A,비계절ETS,1.0,0.35542398195064323,1.033669139544188,9
바디워시,A,비계절ETS,0.5,-1.7439580981805871,2.4983624851763477,8
화장지,A,비계절ETS,1.3,-0.024859325528102685,0.8315166365644638,7
기초화장품,A,비계절ETS,4.5,-0.059560250330483434,0.9115169901308106,6
기능성화장품,A,비계절ETS,3.7,0.062190663212842084,0.548860012980052,9
색조화장품,A,비계절ETS,0.7,0.060654754262950396,0.37067224858357767,7
모발염색약,A,비계절ETS,0.7,-1.4006768156698055,3.7029611330532353,8
구강세정제,A,비계절ETS,0.2,0.2514122958206442,3.744376398221741,5
손목시계,A,비계절ETS,0.6,-0.632097163708239,2.051496580134388,4
장신구,A,비계절ETS,1.0,-0.18384122614320886,0.6246195701601681,4
가방,A,비계절ETS,2.7,-0.1811256512750855,0.7292699002305739,3
핸드백,A,비계절ETS,1.4,-0.21779786324909875,3.4344170807503747,6
우산,A,비계절ETS,0.2,-0.009546109503338304,0.24942646631964913,5
유모차,A,비계절ETS,0.2,0.13744679925971268,0.2659017769063149,7
