월,분류,방식,예측,실제,오차,오차%,채택,가중치
2025-03,07 교통,바텀업,115.70000497805174,115.67,0.0300049780517355,0.0259401556598387,바텀업,110.60000000000001
2025-03,08 통신,바텀업,101.23652791571254,101.35,-0.1134720842874514,-0.1119606159718317,바텀업,46.6
2025-03,10 교육,바텀업,107.65619372349654,108.45,-0.7938062765034601,-0.731955994931729,바텀업,73.9
2025-03,11 음식 및 숙박,바텀업,123.1585313715089,123.38,-0.2214686284910954,-0.1795012388483509,바텀업,144.7
2025-03,12 기타 상품 및 서비스,바텀업,123.51635987387988,123.52,-0.0036401261201177,-0.0029469932967274,바텀업,52.7
2025-04,"04 주택, 수도, 전기 및 연료",탑다운,116.41722220115729,116.24,0.1772222011572779,0.1524623203348915,탑다운,171.6
2025-04,06 보건,탑다운,105.2870526015274,105.53,-0.2429473984726087,-0.2302164298991838,탑다운,84.0
2025-04,09 오락 및 문화,탑다운,109.3383536952374,109.86,-0.5216463047625979,-0.4748282402717985,탑다운,62.9
2025-04,01 식료품 및 비주류음료,바텀업,126.12778290227212,126.48,-0.3522170977278875,-0.2784765162301451,바텀업,142.0
2025-04,02 주류 및 담배,바텀업,104.7468137108642,104.79,-0.0431862891358179,-0.0412122236242178,바텀업,15.8
2025-04,03 의류 및 신발,바텀업,115.83076591655856,115.92,-0.0892340834414398,-0.0769790229826085,바텀업,49.6
2025-04,05 가정용품 및 가사 서비스,바텀업,116.9018883821972,117.97,-1.0681116178028134,-0.9054095259835664,바텀업,45.6
2025-04,07 교통,바텀업,114.89887482967067,114.55,0.3488748296706774,0.3045611782371692,바텀업,110.60000000000001
2025-04,08 통신,바텀업,101.24379558190353,101.34,-0.0962044180964767,-0.0949323249422505,바텀업,46.6
2025-04,10 교육,바텀업,108.59912874688004,108.67,-0.0708712531199609,-0.0652169440691643,바텀업,73.9
2025-04,11 음식 및 숙박,바텀업,123.63630980947087,123.99,-0.3536901905291216,-0.28525702921939,바텀업,144.7
2025-04,12 기타 상품 및 서비스,바텀업,123.8744696723334,124.98,-1.1055303276665995,-0.8845657926601053,바텀업,52.7
2025-05,"04 주택, 수도, 전기 및 연료",탑다운,116.43130413051315,116.47,-0.038695869486844,-0.0332238941245333,탑다운,171.6
2025-05,06 보건,탑다운,105.53495835349388,105.56,-0.0250416465061249,-0.0237226662619599,탑다운,84.0
2025-05,09 오락 및 문화,탑다운,109.9031448296138,110.14,-0.2368551703861925,-0.2150491832088183,탑다운,62.9
2025-05,01 식료품 및 비주류음료,바텀업,125.6061794268238,124.78,0.826179426823785,0.662108853040379,바텀업,142.0
