품목코드,품목명,Tier,가중치,변동횟수,최다월,최다월횟수,집중도
K011390,도시락,A,0.6,21,1,6,0.2857142857142857
K021010,호텔숙박료,A,2.1,304,3,27,0.08881578947368421
K021020,여관숙박료,A,1.5,273,8,26,0.09523809523809523
K021030,콘도이용료,B,0.8,208,7,22,0.10576923076923077
K021040,학교기숙사비,A,0.9,76,3,27,0.35526315789473684
K021050,휴양시설이용료,A,1.4,82,1,8,0.0975609756097561
L011010,목욕료,A,0.6,274,1,26,0.0948905109489051
L011020,찜질방이용료,A,0.6,234,3,21,0.08974358974358974
L011030,이발료,A,0.3,210,3,23,0.10952380952380952
L011040,미용료,A,7.3,292,3,26,0.08904109589041095
L011050,뷰티미용료,A,2.2,186,4,17,0.0913978494623656
L012010,면도기,A,0.4,297,7,27,0.09090909090909091
L012020,헤어드라이어,A,0.7,280,4,26,0.09285714285714286
L012030,칫솔,A,0.4,314,3,27,0.08598726114649681
L012040,치약,A,0.5,306,6,27,0.08823529411764706
L012050,비누,A,0.3,307,7,27,0.08794788273615635
L012060,샴푸,A,1.0,306,5,27,0.08823529411764706
L012070,바디워시,A,0.5,195,4,17,0.08717948717948718
L012080,화장지,A,1.3,314,2,27,0.08598726114649681
L012090,기초화장품,A,4.5,278,4,26,0.09352517985611511
L012100,기능성화장품,A,3.7,205,8,20,0.0975609756097561
L012110,색조화장품,A,0.7,270,6,26,0.0962962962962963
L012120,모발염색약,A,0.7,279,5,26,0.0931899641577061
L012130,구강세정제,A,0.2,196,2,17,0.08673469387755102
L021010,손목시계,A,0.6,111,7,13,0.11711711711711711
L021020,장신구,A,1.0,39,1,7,0.1794871794871795
L021030,가방,A,2.7,163,4,18,0.11042944785276074
L021040,핸드백,A,1.4,128,1,17,0.1328125
L021050,우산,A,0.2,261,5,25,0.09578544061302682
L021060,유모차,A,0.2,140,3,14,0.1
L021070,선글라스,A,0.4,73,3,7,0.0958904109589041
L021080,지갑,A,0.5,41,4,6,0.14634146341463414
L031010,산후조리원이용료,A,0.7,302,2,27,0.08940397350993377
L031040,보험서비스료,A,8.6,27,4,10,0.37037037037037035
L031050,자동차보험료,A,3.7,85,4,12,0.1411764705882353
L031060,금융수수료,A,0.2,16,1,3,0.1875
L031090,대입전형료,A,0.1,40,1,17,0.425
L031100,시험응시료,A,0.4,32,1,8,0.25
L031110,장례비,A,2.6,212,1,21,0.09905660377358491
A013010,갈치,B,1.1,315,3,27,0.08571428571428572
A013020,명태,B,0.7,317,2,27,0.08517350157728706
A013030,조기,B,0.9,315,2,27,0.08571428571428572
A013040,고등어,B,2.0,319,2,27,0.08463949843260188
A013050,오징어,B,1.0,316,2,27,0.08544303797468354
A013060,게,B,0.9,197,2,17,0.08629441624365482
A013070,굴,B,0.4,237,2,27,0.11392405063291139
A013080,조개,B,0.6,315,2,27,0.08571428571428572
A013090,전복,B,0.5,198,2,17,0.08585858585858586
A013100,새우,B,0.7,79,2,7,0.08860759493670886
A013130,낙지,B,0.5,138,2,12,0.08695652173913043
A016010,사과,B,2.3,248,2,27,0.10887096774193548
A016020,배,B,0.7,236,2,27,0.11440677966101695
A016030,복숭아,B,1.0,181,7,27,0.14917127071823205
A016040,포도,B,1.4,231,8,27,0.11688311688311688
A016050,밤,B,0.2,236,2,27,0.11440677966101695
A016060,감,B,0.5,223,2,27,0.1210762331838565
A016070,귤,B,1.8,226,2,27,0.11946902654867257
A016080,오렌지,B,0.4,272,2,27,0.09926470588235294
A016090,참외,B,1.0,214,4,27,0.1261682242990654
A016100,수박,B,1.0,193,6,27,0.13989637305699482
A016110,딸기,B,1.5,213,2,27,0.1267605633802817
A016120,바나나,B,0.8,319,2,27,0.08463949843260188
