품목명,Tier,가중치,모델,MAPE%
공연예술관람료,A,0.7,비계절ETS,0.4168535717788779
관람시설이용료,A,0.6,비계절ETS,0.3398221711036022
독서실비,A,0.8,비계절ETS,0.21063122698451217
문화강습료,A,0.9,비계절ETS,0.10805288859066103
온라인콘텐츠이용료,A,8.0,비계절ETS,0.11018541095526425
사진서비스료,A,1.7,비계절ETS,0.7337799370249386
유아용학습교재,A,0.3,비계절ETS,0.276032743548375
초등학교학습서,A,0.6,비계절ETS,0.22531392878473458
중학교학습서,A,0.6,비계절ETS,1.3425082693656476
고등학교학습서,A,0.6,비계절ETS,0.370472339427057
대학교재,A,0.2,비계절ETS,0.10946338519567982
서적,A,1.5,비계절ETS,0.3035955958971481
신문,A,0.4,비계절ETS,0.06479542353968046
종이문구,A,0.5,비계절ETS,0.4223448827563037
기타문구,A,0.1,비계절ETS,0.595166224306119
필기구,A,0.4,비계절ETS,0.40983336570908246
회화용구,A,0.2,비계절ETS,0.19120129634358662
국내단체여행비,A,2.0,비계절ETS,6.282336174161912
해외단체여행비,A,5.5,비계절ETS,4.747881969231313
초등학생학원비,A,7.6,비계절ETS,0.12981042323831113
중학생학원비,A,13.8,비계절ETS,0.11627663643574371
고등학생학원비,A,13.8,비계절ETS,0.09928209891032512
음악학원비,A,3.0,비계절ETS,0.1257722589008962
미술학원비,A,2.6,비계절ETS,0.14690964335167384
운동학원비,A,5.7,비계절ETS,0.23521317286855725
전산학원비,A,0.5,비계절ETS,0.1239963258219499
가정학습지,A,3.5,비계절ETS,0.49874046142525574
이러닝이용료,A,0.7,비계절ETS,0.5912786707390855
학교보충교육비,A,1.4,비계절ETS,0.773613233237747
기타학원비,A,0.2,비계절ETS,0.07906374173964477
취업학원비,A,2.0,비계절ETS,0.40541378208833323
외국어학원비,A,0.5,비계절ETS,0.16051284474325236
운동강습료,A,3.7,비계절ETS,0.082580473761473
김치찌개백반,A,4.8,비계절ETS,0.1617851735014705
된장찌개백반,A,4.3,비계절ETS,0.17927227942111443
비빔밥,A,2.4,비계절ETS,0.20010598894903753
설렁탕,A,2.0,비계절ETS,0.1924235625102202
갈비탕,A,2.2,비계절ETS,0.20276570255712625
삼계탕,A,2.2,비계절ETS,0.15513865260649837
해물찜,A,4.1,비계절ETS,0.08888971320633636
해장국,A,5.0,비계절ETS,0.17810447534239218
