품목코드,품목명,Tier,가중치,pred,보정치,pred_corr
L012130,구강세정제,A,0.2,117.17846755331973,0.0,117.17846755331973
L021010,손목시계,A,0.6,136.06334969073117,0.0,136.06334969073117
L021020,장신구,A,1.0,117.22939755777361,0.0,117.22939755777361
L021030,가방,A,2.7,108.07,0.15529986883205518,107.97682007870075
L021040,핸드백,A,1.4,110.84348953393273,0.9360873634116255,110.28183711588575
L021050,우산,A,0.2,106.95156190697303,0.0,106.95156190697303
L021060,유모차,A,0.2,106.66534599606861,-0.3135754567562354,106.85349127012235
L021070,선글라스,A,0.4,101.68163988339171,-0.12671242501394175,101.75766733840007
L021080,지갑,A,0.5,122.68999813817926,0.0,122.68999813817926
L031010,산후조리원이용료,A,0.7,122.34594393323513,0.0,122.34594393323513
L031040,보험서비스료,A,8.6,190.29,1.1965917246335163,189.57204496521987
L031050,자동차보험료,A,3.7,93.67,-0.05631230896385612,93.70378738537832
L031060,금융수수료,A,0.2,99.99906961269517,0.0,99.99906961269517
L031090,대입전형료,A,0.1,101.13002678172944,0.0,101.13002678172944
L031100,시험응시료,A,0.4,116.24370253711642,0.1567298135287416,116.14966464899918
L031110,장례비,A,2.6,109.43366703780124,0.07537641753053019,109.38844118728292
A013010,갈치,B,1.1,112.75170252152839,0.0,112.75170252152839
A013020,명태,B,0.7,111.19117267378957,0.0,111.19117267378957
A013030,조기,B,0.9,128.69171251258203,-1.560690115101006,129.62812658164262
A013040,고등어,B,2.0,134.44955670818328,0.0,134.44955670818328
A013050,오징어,B,1.0,129.52652128050323,0.0,129.52652128050323
A013060,게,B,0.9,94.9799598190384,0.0,94.9799598190384
A013070,굴,B,0.4,135.29474849784145,0.0,135.29474849784145
A013080,조개,B,0.6,120.78555330191745,0.0,120.78555330191745
A013090,전복,B,0.5,86.58071866175932,0.0,86.58071866175932
A013100,새우,B,0.7,121.623056789029,0.0,121.623056789029
A013130,낙지,B,0.5,120.16469733220079,0.0,120.16469733220079
A016010,사과,B,2.3,159.66876157244042,0.0,159.66876157244042
A016020,배,B,0.7,130.07462836136278,0.0,130.07462836136278
A016030,복숭아,B,1.0,149.3257920504925,0.0,149.3257920504925
A016040,포도,B,1.4,126.0449923732239,0.0,126.0449923732239
A016050,밤,B,0.2,111.08690353263896,0.0,111.08690353263896
A016060,감,B,0.5,113.47648091732304,0.0,113.47648091732304
A016070,귤,B,1.8,190.42828812902468,0.0,190.42828812902468
A016080,오렌지,B,0.4,99.13747639456804,0.0,99.13747639456804
A016090,참외,B,1.0,99.16778399139979,0.0,99.16778399139979
A016100,수박,B,1.0,155.7799387500299,0.0,155.7799387500299
