품목코드,품목명,가중치,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,정확히0인달수,0.00%반올림달수,전체달수,정확히0_비율
A011110,당면,0.2,,0.8615567439097083,0.9131075110456521,0.8756567425569406,-0.542534722222221,-5.244017746745222,4.75130488179305,-0.9745731662636592,0.9471659020275247,0.5717636710159901,0.10204081632654294,0.4295907965632839,-10.084825636192274,9.167876149008226,1.0192776423665117,1.4842436206770504,-2.442363112391943,-0.302784137065204,-0.27407407407408213,1.374136522320435,0.2051582649472472,-0.15355367066391956,0.856829000366166,-0.5227998838222447,0.6569343065693456,-5.968092820884707,4.603994755918861,-0.05160719551754456,1.2834697942022633,-10.836792658946903,11.369762313158539,0.4107077374404078,0.1533854356876807,0.7511668611435152,1.7951501990589813,6.108227263030641,0,0,35,0.0
A011120,두부,1.2,,0.9322823968132887,-0.6969518851288936,-0.49044478268222,0.7053025152957249,-0.12657159733355794,0.2957080094626585,-0.32853171594642294,-0.19438810006759955,0.49115081717334697,-0.5898710710373289,0.5340340764601104,-0.7335581787521028,0.09343412893909608,-1.8329938900203624,1.8845089903181123,-0.8824028508399806,0.2568053415511251,-5.7718579234972704,0.498368974266028,0.06311423676854666,-0.5586592178770999,0.5889815150416977,-0.7656967840735107,-0.20878721859113325,0.18193395797323486,-0.6991737038045898,-0.987564008778341,0.757295899519761,0.08249312557286892,-0.6227676527154391,-0.08294166436273454,0.14757424829368038,0.5433781543562333,-1.328203718970411,1.7452655031563236,0,0,35,0.0
A011130,시리얼,0.4,,2.6003575491630126,-10.676382068747037,6.676715729739313,-0.8561216856454168,-2.188128772635811,3.128482043370173,-2.883976063829785,4.578519469405218,2.8887070376432122,-4.788037858904004,-2.5728844708044374,-4.912972648546676,13.76916140667268,-2.940477134025532,3.0295606728727886,8.425140683205212,-7.719298245614048,4.483523447401794,1.076573161485972,-7.26072607260726,13.442251698479456,1.2049051761015228,-2.409299048960889,-14.791019995668808,-0.8132836326668946,12.52135292107961,8.79004098982843,-10.710298632430925,-9.564741736344452,-1.3134018836948202,3.230890464933034,2.0695504664970388,9.024430779458182,-10.091463414634138,14.860969820278068,0,0,35,0.0
A011140,부침가루,0.6,,2.3880597014925398,1.7978620019436287,-0.17047391749062113,-1.9808743169398957,-3.094076655052258,3.602761397957699,0.2637606718955965,0.31152647975078995,-0.8902691511387117,-1.601559779959616,1.2667185620267363,-10.19566736547869,10.933001322854263,0.5822109988776525,1.1716298207685272,-1.868063693389388,0.9623489744309932,0.9879635427537892,-0.8267309679641843,1.0837096213963227,-1.0446017455844836,-0.25001736231683447,0.04873633641995223,0.7098121085595155,-5.223880597014929,4.95042286380869,-0.1736714136853057,0.285316631871968,-10.526681007563676,8.6784550953932,0.9776635980874859,0.4240282685512353,-1.4989444053483458,2.6577123669357716,-0.5010787111142001,0,0,35,0.0
A011150,케이크,1.6,,0.040551500405516805,0.00810701256588331,0.024319066147859836,0.875273522975939,0.02410219329960217,0.02409638554217164,-0.01606038705532775,0.0,-0.008031483414994156,0.03212851405622885,0.024088646218078935,0.0,1.3085012442803245,0.19017432646593058,0.06327111673520847,1.596585520075866,0.05445775634045358,1.6872715962988671,0.0,0.6040679002905502,-0.007600516835137849,0.0,0.022803283672856445,0.21278212630138071,0.03791612952148693,0.007580351728342372,0.007579777154553824,0.11368804001818944,0.030282383223556586,0.02270491182925216,-0.7717917675544861,0.0,0.007625438462732781,0.7396111322912624,0.09839539812290798,5,5,35,14.285714285714285
A011160,빵,6.8,,0.0,0.02307514806554334,0.00768994155646574,0.038446751249510136,0.0,0.01537279016141646,0.046111281893645995,0.007681671531711842,0.0,0.015362162992560435,-0.08447891866985024,0.02305918524212469,0.0,0.09990009990008542,3.116843236603728,0.0,1.5634306134603815,1.4367394810145262,0.050585344702991364,0.021668472372704528,0.028885037550563375,0.021657522379436855,0.04330566582462225,0.028857946757088193,0.021637216011538563,0.021632535333138136,0.007209285559794942,0.0,0.021626297577848064,-0.1585585585585525,-0.04331191799610279,0.007221780891164542,0.0,0.021663778162905878,2.952855389502562,7,7,35,20.0
A011170,떡,1.9,,0.02553843534518485,0.29787234042553123,0.619431480695809,-0.14336313037611736,0.4222616333080076,0.8325624421831712,0.40033361134277357,0.04984216647283546,0.5313849219528377,0.28906508093822225,0.016470394465950555,0.14820913956359316,0.0904382142563609,0.09035649745359198,0.06565449322939454,0.1476256868695014,0.20473343706495228,0.8090879372343762,0.42967166599108264,0.24216984178238032,0.17716218392656025,0.4421221864951752,0.400160064025612,0.28696691909126937,0.41332167554248844,0.8707353756035818,0.3688299458526334,0.3049257232212499,0.3897419908020838,0.17858529388929956,0.1240117811192043,0.6038086391082276,0.03847337642350901,0.3307437889393139,0.0,1,1,35,2.857142857142857
A011180,파스타면,0.1,,1.0572754240511184,1.904260123438184,-1.004505502622044,-0.022383048571217312,0.11940298507462366,-0.6186642814549725,-0.037500937523449185,0.855342136854742,0.4240440410653301,-1.1704570708941486,-0.6071508882392607,0.0075414781297356015,0.28655455847974576,1.1504624407850272,-0.8325899494499023,-0.6821589205397327,-0.45286436712206335,-0.39426795056485275,1.6594351830707232,-1.5499812804193325,0.8974749011256611,-0.5653550429669862,1.2432719278295812,-3.676525645825557,3.964552238805985,-1.630028413339324,1.2465795074490638,-1.561561561561553,-1.2583892617449743,2.3094153085656988,-1.0342744979616514,-2.61652299946602,4.378818737270884,0.23264540337710748,-3.1446540880503027,0,0,35,0.0
A012010,국산쇠고기,8.6,,2.510221546068281,-1.382061033299331,0.6772009029345494,0.39237668161433703,-2.168248650660709,-1.5504613335869832,-2.463768115942022,-1.535413571074784,0.8048289738430636,-0.6786427145708651,-0.19091639871382515,3.4330011074197087,2.219194082149123,-0.5427537611883415,1.4073719483006286,2.29418429003021,-0.7106598984771506,-2.844394868934752,0.6410256410256387,-0.5133567829641472,-1.1180124223602483,0.9180517974487934,1.4363688595231183,1.6142735768903904,2.04384986993682,-0.5280407865986825,1.7115138202452806,1.1338072527670384,1.0677106504137335,-1.707896821903332,-1.0300044782803441,-1.3484162895927576,2.0823777635079255,-0.8357296908698797,-0.8699592206615314,0,0,35,0.0
A012020,수입쇠고기,3.1,,1.40890169708614,1.1367224502683904,0.20293474867312256,0.9736719115126968,0.4551415567384032,0.568269083090156,-1.7333536957849782,-0.3652187427150455,1.240056153486191,1.941298821354298,-1.2922239854908257,1.3780431786862612,-0.7249660172179317,0.3118819412749163,1.5848942139986333,2.5156763212899502,-0.0873807616689759,0.7433860505793977,-1.830282861896837,-0.39056742815033463,0.3773026559147796,-2.3511202830188704,0.3924824515057601,1.7667844522968323,2.2236997635933786,1.7633880176338712,2.727079042681635,1.7559626685101914,-2.099327399959239,0.027758501040930916,0.7978354377688346,0.09635900612567916,-0.3300556968988677,-0.6347016212487011,-0.7776157744914247,0,0,35,0.0
