품목코드,품목명,Tier,가중치,pred_2026-01,actual_2026-01,pred_2026-02,actual_2026-02,pred_2026-03,actual_2026-03,pred_2026-04,actual_2026-04,pred_2026-05,actual_2026-05,pred_2026-06,actual_2026-06,pred_2026-07,actual_2026-07
A019110,드레싱,A,0.2,162.7518936483552,164.2,164.346597780471,162.42,162.90847933598337,161.25,161.312501230662,163.44,163.0726135940223,162.56,162.71578768673245,165.19,165.10149806072246,166.94
A019120,혼합조미료,A,0.3,135.0846678606123,132.41,133.23701191832254,130.74,131.46372305111916,132.62,132.72652859624918,135.06,134.99093070178495,133.59,134.1639754239724,135.51,135.60348757487833,136.72
A019130,스프,A,0.3,129.7443691643837,129.08,129.1420407147573,129.38,129.421750197366,129.67,129.71385890748263,129.93,129.97641039935291,129.73,129.78175311341525,128.5,128.55391674929604,129.84
A019140,이유식,A,0.3,111.21993175295347,111.12,111.21938415552754,111.12,111.21884209965258,111.12,111.21830058138502,111.12,111.21776273358954,111.12,111.21722949462799,111.12,111.21669958703919,111.12
A019150,김치,A,1.3,133.2333576050445,135.36,135.24476981865877,135.19,135.29823386620743,135.33,135.42884022589323,135.24,135.360976754254,135.49,135.60974464757308,135.5,135.60854771583072,134.06
A019160,밑반찬,A,3.1,117.38464360266373,117.15,117.3595094328028,117.28,117.48276167900683,117.07,117.25058370449577,117.8,118.003226324226,118.13,118.33658647476545,118.04,118.22971012379844,118.18
A019170,냉동식품,A,1.9,117.87665037247082,119.55,119.54407274467991,118.4,118.54297308992642,120.46,120.41575024148027,118.84,119.03019309549322,120.63,120.58076753395174,118.89,119.11160055405615,118.38
A019180,즉석식품,A,3.1,125.22017859540215,125.98,126.0289674563846,126.36,126.46980418916056,125.55,125.78462635543904,126.1,126.12353746423607,127.2,127.14345262029934,127.79,127.8288546701996,127.25
A019190,편의점도시락,A,0.4,118.84766810734291,118.57,118.83345323959229,118.57,118.82080793924356,118.57,118.80944391885718,118.57,118.79914011303774,118.57,118.78971527936194,118.57,118.78101013256156,118.57
A019200,삼각김밥,A,0.4,114.36131175823513,114.8,115.07708597821004,115.12,115.39918823873174,115.19,115.44935205792139,115.77,116.055284695971,116.07,116.35506541556937,116.22,116.49184948170242,116.26
A021010,커피,A,2.6,144.63958273867405,142.94,143.7509013324421,143.02,143.65793740192476,144.1,144.57721043655962,144.92,145.4193323831772,142.52,143.4095824404561,143.9,144.30200355093356,145.81
A021020,차,A,0.9,130.64250719339014,136.3,133.43849442216555,134.21,134.14227651493977,128.18,131.86169975170344,131.13,131.8177245903203,129.93,131.2402777688549,128.13,130.06799632260183,120.29
A022010,주스,A,1.4,136.73449151126104,136.3,136.78113950370857,136.78,137.2175032147648,136.73,137.19087284666017,136.52,136.96890386407154,136.45,136.86232490965173,136.56,136.9386466905797,136.41
A022020,두유,A,0.8,125.16775081725275,125.29,125.45320601274638,124.66,125.08398981234912,126.28,126.1268622653081,126.09,126.30097119225057,127.04,127.02731295853562,127.23,127.37772381890083,126.71
A022030,생수,A,1.3,116.65526562784419,117.44,117.45858517435761,117.54,117.66528174847794,117.21,117.41023386417804,117.5,117.61789365681724,117.5,117.64735628933006,116.95,117.17586258886143,117.03
A022040,기능성음료,A,0.5,120.87550936396084,121.06,121.06167308929484,121.38,121.47298235626216,121.59,121.69814885151345,120.81,120.64201106737012,120.16,119.88515940641312,121.05,121.16125918554178,120.7
A022050,탄산음료,A,1.6,119.41157937153224,120.34,120.2046490277739,120.69,120.71789661987076,112.74,115.84157658043937,119.55,118.30377399234322,118.99,118.87420861836229,119.47,119.39630968110718,120.71
A022060,기타음료,A,0.6,125.52493384767779,126.33,126.24109521826682,124.34,125.50383512658881,123.82,124.8440894043943,121.9,123.43217088957493,122.0,122.8088987420544,122.27,122.68188730563577,124.38
B011010,소주,A,1.7,108.57769999524128,108.54,108.59739416626353,108.56,108.61709019321951,108.67,108.72682855439557,108.92,108.97663037247752,108.92,108.97632229748896,108.96,109.01603359934737,109.01
B011020,과실주,A,0.8,102.00615405650768,103.91,102.37405164284446,106.06,103.06695448362491,106.32,103.68542183229196,100.95,103.17421148721169,102.87,103.12343404742519,104.61,103.40407907084649,102.1
B011030,맥주,A,3.0,115.95191336337656,116.12,116.28471807569318,116.19,116.35185213399365,116.17,116.32723391332138,116.15,116.30286503219145,115.98,116.12582499552119,116.22,116.36686575747324,116.21
B011040,막걸리,A,0.5,123.12346777331663,123.4,123.44302936521613,123.34,123.3534604633894,123.43,123.45632856455352,123.41,123.42164432226599,123.72,123.78996738333836,123.88,123.9543196870412,124.23
B011050,양주,A,0.4,111.03414958446213,112.28,111.10598956433958,116.95,112.46869865301169,116.88,113.70022290328816,110.21,112.93104867199668,112.96,112.97191539262562,118.3,114.37301894096616,112.98
B011060,약주,A,0.1,105.62568247010654,105.53,105.55237047811028,105.42,105.40724422479772,105.45,105.44969819783107,105.56,105.58528916712996,105.61,105.63595284059959,105.79,105.84644923199093,105.9
C011010,남자외의,A,4.4,120.472942599804,120.22,120.46620194018429,120.22,120.45806634215549,120.22,120.45040661066895,120.22,120.44321612436234,120.22,120.43645937125792,120.22,120.43014813535507,120.22
C011020,남자상의,A,1.5,115.22566130627035,115.06,115.22234935395457,115.06,115.21634832236309,115.06,115.21076765148116,115.06,115.20564344633488,115.06,115.20092688298956,115.06,115.19656211580393,115.06
C011030,남자하의,A,1.3,123.85995732785419,123.64,123.85409917632413,123.64,123.84857132995981,123.64,123.84333560721858,123.64,123.8384003280128,123.64,123.83369215741251,123.64,123.82921674495121,123.64
C011040,남자내의,A,0.7,110.51204360493284,110.7,110.83834059550585,111.07,111.24923216062203,111.15,111.30807226658153,111.19,111.31458744860696,111.32,111.4353305278295,111.4,111.50264945701714,111.42
C012010,여자외의,A,6.2,115.9075767431886,115.76,115.90375099385072,115.76,115.90016874836067,115.76,115.89677162568789,115.76,115.89357168691369,115.76,115.89041609574203,115.76,115.88766312153723,115.76
C012020,원피스,A,1.8,127.80377977635662,127.51,127.79578802535504,127.51,127.78708635604656,127.51,127.77887596306604,127.51,127.77115597268758,135.33,135.32055641807617,135.33,135.75781638089632,135.33
C012030,여자상의,A,1.5,117.49988066324738,117.44,117.49972749745416,117.44,117.4994072655382,117.44,117.49908255380565,117.44,117.49875955614803,117.44,117.49843863445594,117.44,117.49811965961196,117.44
C012040,여자하의,A,2.4,119.16884267335084,119.02,119.16577643175765,119.02,119.16284311736082,119.02,119.16003349076601,119.02,119.15733207985834,123.83,123.87803026472272,123.83,124.03056762053907,123.83
C012050,여자내의,A,1.8,109.69950244449785,109.65,109.72120492152665,109.58,109.65617389853684,109.64,109.7061462858152,109.27,109.36257530419458,109.67,109.70923085884841,109.79,109.84713797397823,110.11
C013010,점퍼,A,3.3,120.71274253451831,120.59,120.70860109712292,120.59,120.7046105794804,120.59,120.7007571914369,120.59,120.69699446333664,120.59,120.69329473040891,120.59,120.68960921958052,120.59
C013020,티셔츠,A,4.6,123.95969055792621,123.77,123.95544598341807,123.77,123.95139660051721,123.77,123.94753258781914,123.77,123.94382368875011,123.77,123.94030006047251,123.77,123.93689998347955,123.77
