품목코드,품목명,Tier,가중치,모델,pred_2026-09,보정치(레벨),보정후_pred_2026-09
I011020,영상음향기기,A,0.9,비계절ETS,100.04763243193673,0.0,100.04763243193673
I012010,컴퓨터,A,3.0,비계절ETS,116.14718979423161,0.0,116.14718979423161
I012020,컴퓨터수리비,A,0.1,비계절ETS,208.09799229793663,0.0,208.09799229793663
I012030,휴대용멀티미디어기기,A,1.2,비계절ETS,149.9697754505083,0.0,149.9697754505083
I012040,컴퓨터소모품,A,0.7,비계절ETS,127.76242648023428,0.10517367705644413,127.69932227400042
I012050,저장장치,A,0.1,비계절ETS,214.31703001048967,0.0,214.31703001048967
I021010,악기,A,0.3,비계절ETS,107.70693828832607,0.0,107.70693828832607
I021020,헬스기구,A,1.1,비계절ETS,113.61260870855965,0.0,113.61260870855965
I031010,장난감,A,2.9,비계절ETS,101.49413459289454,-0.17588787761219038,101.59966731946186
I031020,레저용품,A,1.6,완전동결(검증됨),113.03,-0.1979725650427374,113.14878353902564
I031030,운동용품,A,2.1,비계절ETS,105.05843500587044,0.0,105.05843500587044
I031040,화초,A,0.7,비계절ETS,137.65999998167158,0.0,137.65999998167158
I031050,원예용품,A,0.4,비계절ETS,121.42254522686753,0.0,121.42254522686753
I031060,반려동물용품,A,3.3,비계절ETS,123.8580401693978,0.0,123.8580401693978
I031070,반려동물관리비,A,2.6,비계절ETS,115.42684689379644,-0.17874556968015773,115.53409423560453
I041010,수영장이용료,A,0.2,비계절ETS,114.29039666539461,0.0,114.29039666539461
I041020,볼링장이용료,A,0.2,비계절ETS,109.95665523061825,0.0,109.95665523061825
I041030,헬스클럽이용료,A,1.5,비계절ETS,108.86702795859206,0.0,108.86702795859206
I041040,골프연습장이용료,A,2.3,비계절ETS,103.69573718922807,0.07915512020278943,103.6482441171064
I041050,골프장이용료,A,3.0,비계절ETS,119.90244361241356,0.0,119.90244361241356
I041060,당구장이용료,A,0.5,비계절ETS,109.11681363273574,0.0,109.11681363273574
I041070,노래방이용료,A,0.5,비계절ETS,123.71910336534431,0.0,123.71910336534431
I041080,PC방이용료,A,0.3,비계절ETS,116.22865547730079,0.0,116.22865547730079
I041090,놀이시설이용료,A,2.3,계단평균(검증됨),120.30753210973248,-1.8739161580255868,121.43188180454783
I041100,운동경기관람료,A,0.2,비계절ETS,133.7607416334198,0.0,133.7607416334198
I042010,영화관람료,A,1.0,완전동결(검증됨),128.81,0.0,128.81
I042020,공연예술관람료,A,0.7,비계절ETS,116.06145638737408,0.0,116.06145638737408
I042030,관람시설이용료,A,0.6,비계절ETS,111.5846053756949,0.0,111.5846053756949
I042040,독서실비,A,0.8,비계절ETS,98.75801875754898,0.0,98.75801875754898
I042050,문화강습료,A,0.9,비계절ETS,117.47959924661909,0.0,117.47959924661909
I042060,온라인콘텐츠이용료,A,8.0,완전동결(검증됨),111.47,0.10470552649226288,111.40717668410464
I042080,사진서비스료,A,1.7,비계절ETS,126.71126687995417,0.0,126.71126687995417
I051010,유아용학습교재,A,0.3,비계절ETS,115.53493658034901,0.062492782095093936,115.49744091109196
I051020,초등학교학습서,A,0.6,비계절ETS,112.4758408021145,0.0,112.4758408021145
I051030,중학교학습서,A,0.6,비계절ETS,119.84482969784472,0.0,119.84482969784472
I051040,고등학교학습서,A,0.6,비계절ETS,140.40064877697287,0.0,140.40064877697287
