품목코드,품목명,Tier,가중치,pred,pred_corr
J041070,전산학원비,A,0.5,111.48041583602385,111.48041583602385
J041080,가정학습지,A,3.5,117.84,117.84
J041090,이러닝이용료,A,0.7,98.5806656662503,98.5806656662503
J041100,학교보충교육비,A,1.4,104.2333043519499,104.2333043519499
J041110,기타학원비,A,0.2,107.22664202443337,107.22664202443337
J042010,취업학원비,A,2.0,107.87120726975898,107.87120726975898
J042020,외국어학원비,A,0.5,112.05510845443456,112.05510845443456
J042030,운동강습료,A,3.7,107.88442649882853,107.88442649882853
K011010,김치찌개백반,A,4.8,124.45579697911774,124.45579697911774
K011020,된장찌개백반,A,4.3,123.56228345981246,123.56228345981246
K011030,비빔밥,A,2.4,126.09486931659679,126.09486931659679
K011040,설렁탕,A,2.0,126.1569684020339,126.1569684020339
K011050,갈비탕,A,2.2,129.41907665314565,129.41907665314565
K011060,삼계탕,A,2.2,120.59614204586926,120.59614204586926
K011070,해물찜,A,4.1,113.79927578503415,113.79927578503415
K011080,해장국,A,5.0,126.71156285300057,126.71156285300057
K011090,불고기,A,1.1,120.47615649463276,120.47615649463276
K011100,쇠고기(외식),A,8.3,119.76766417445646,119.76766417445646
K011110,돼지갈비(외식),A,6.1,122.9032592673525,122.9032592673525
K011120,삼겹살(외식),A,7.2,121.27174548789,121.27174548789
K011130,오리고기(외식),A,1.5,121.870597260096,121.870597260096
K011140,냉면,A,2.4,125.45789251434451,125.45789251434451
K011150,칼국수,A,2.7,127.07301980563612,127.07301980563612
K011160,죽(외식),A,1.7,118.48,118.48
K011170,생선초밥,A,2.7,116.25028535696275,116.25028535696275
K011180,생선회(외식),A,10.3,131.23321799280856,131.23321799280856
K011190,자장면,A,2.2,129.26897667144485,129.26897667144485
K011200,짬뽕,A,2.4,126.32528081613171,126.32528081613171
K011210,탕수육,A,2.1,119.47718158396613,119.47718158396613
K011220,볶음밥,A,0.9,125.59430903148913,125.59430903148913
K011230,돈가스,A,2.2,125.54841301118176,125.54841301118176
K011240,스테이크,A,1.5,117.07973038679027,117.07973038679027
K011250,스파게티,A,1.5,116.54908688149034,116.54908688149034
K011260,라면(외식),A,0.7,128.86612899051684,128.86612899051684
K011270,김밥,A,3.4,135.51647641709712,135.51647641709712
K011280,떡볶이,A,3.1,132.92774323721673,132.92774323721673
K011290,치킨,A,8.6,126.57694646336273,126.57694646336273
K011300,햄버거,A,4.3,134.374453976266,134.374453976266
K011310,피자,A,4.1,118.70037515916255,118.70037515916255
K011320,쌀국수,A,0.6,122.47247923964409,122.47247923964409
K011330,커피(외식),A,8.8,106.79,106.79
K011340,기타음료(외식),A,0.5,105.66124609718881,105.66124609718881
K011350,소주(외식),A,2.5,114.78,114.78
K011360,맥주(외식),A,4.8,117.33,117.33
K011370,막걸리(외식),A,0.3,119.68318073844485,119.68318073844485
K011380,구내식당식사비,A,11.9,122.33445544117221,122.33445544117221
K011390,도시락,A,0.6,133.6651983563592,133.6651983563592
K021010,호텔숙박료,A,2.1,118.89529297740762,118.89529297740762
K021020,여관숙박료,A,1.5,108.02082151366442,108.02082151366442
K021030,콘도이용료,B,0.8,124.9840519481675,124.9840519481675
K021040,학교기숙사비,A,0.9,110.90502449217497,110.90502449217497
K021050,휴양시설이용료,A,1.4,107.7779168531088,107.7779168531088
L011010,목욕료,A,0.6,132.4030605727342,132.4030605727342
L011020,찜질방이용료,A,0.6,129.7326545590823,129.7326545590823
L011030,이발료,A,0.3,115.2772129493106,115.2772129493106
L011040,미용료,A,7.3,115.95743659315538,115.95743659315538
L011050,뷰티미용료,A,2.2,117.26395754542253,117.26395754542253
L012010,면도기,A,0.4,119.34124064200901,119.34124064200901
L012020,헤어드라이어,A,0.7,121.66077589266173,121.66077589266173
L012030,칫솔,A,0.4,103.9918054559603,103.9918054559603
L012040,치약,A,0.5,106.86317918209038,106.86317918209038
L012050,비누,A,0.3,132.714824015356,132.714824015356
L012060,샴푸,A,1.0,146.69058801756586,146.69058801756586
L012070,바디워시,A,0.5,108.91348218052086,108.91348218052086
L012080,화장지,A,1.3,119.09095476962753,119.09095476962753
L012090,기초화장품,A,4.5,102.63745946236168,102.63745946236168
L012100,기능성화장품,A,3.7,130.95698190300084,130.95698190300084
L012110,색조화장품,A,0.7,108.36188568341029,108.36188568341029
L012120,모발염색약,A,0.7,128.00385411780337,128.00385411780337
L012130,구강세정제,A,0.2,116.79860878198362,116.79860878198362
L021010,손목시계,A,0.6,122.98903687209175,122.98903687209175
L021020,장신구,A,1.0,109.60959078699831,109.60959078699831
L021030,가방,A,2.7,108.07,108.07
L021040,핸드백,A,1.4,112.80458038703279,112.80458038703279
L021050,우산,A,0.2,106.53108256751626,106.53108256751626
L021060,유모차,A,0.2,105.87057215166058,105.87057215166058
L021070,선글라스,A,0.4,100.14169592260495,100.14169592260495
L021080,지갑,A,0.5,122.6880618644348,122.6880618644348
L031010,산후조리원이용료,A,0.7,117.5052992190581,117.5052992190581
L031040,보험서비스료,A,8.6,176.18115670331932,176.18115670331932
L031050,자동차보험료,A,3.7,94.45,94.45
L031060,금융수수료,A,0.2,99.99859371476487,99.99859371476487
L031090,대입전형료,A,0.1,94.01568391868645,94.01568391868645
L031100,시험응시료,A,0.4,116.29477029753252,116.29477029753252
L031110,장례비,A,2.6,108.68833528513173,108.68833528513173
A013010,갈치,B,1.1,105.7101025524762,105.7101025524762
A013020,명태,B,0.7,109.36574639095373,109.36574639095373
A013030,조기,B,0.9,108.95837232762986,108.95837232762986
A013040,고등어,B,2.0,124.10186965630541,124.10186965630541
A013050,오징어,B,1.0,123.82970472055743,123.82970472055743
A013060,게,B,0.9,97.19840317015014,97.19840317015014
A013070,굴,B,0.4,131.9115799036077,131.9115799036077
A013080,조개,B,0.6,120.50732325976543,120.50732325976543
A013090,전복,B,0.5,95.56050985574456,95.56050985574456
A013100,새우,B,0.7,117.03220809501566,117.03220809501566
A013130,낙지,B,0.5,113.87312818268006,113.87312818268006
A016010,사과,B,2.3,134.48655140129048,134.48655140129048
A016020,배,B,0.7,157.88433194748995,157.88433194748995
A016030,복숭아,B,1.0,139.38974784715552,139.38974784715552
