품목코드,품목명,Tier,가중치,모델,pred_2025-08,actual_2025-08,pred_2025-09,actual_2025-09,pred_2025-10,actual_2025-10,pred_2025-11,actual_2025-11,pred_2025-12,actual_2025-12,pred_2026-01,actual_2026-01,pred_2026-02,actual_2026-02,pred_2026-03,actual_2026-03,pred_2026-04,actual_2026-04,pred_2026-05,actual_2026-05,pred_2026-06,actual_2026-06,pred_2026-07,actual_2026-07
A016190,아몬드,A,0.2,비계절ETS,107.36688132898166,107.41,107.6931530320912,108.31,108.64181620614319,108.58,108.84433017658972,109.09,109.35070791697491,109.62,109.88288460002549,109.52,109.68677749067186,109.78,109.93361457212512,109.71,109.80727604236284,110.13,110.25486958053483,110.16,110.25300105424296,109.88,109.91080780159243,111.06
A016200,과일가공품,A,1.0,비계절ETS,142.40343528340588,145.16,145.64080060713601,141.77,142.14790000756167,140.98,141.17167485408018,143.06,143.44513311995297,141.24,141.4183241784543,141.79,141.98727231068185,143.7,144.06849440234993,140.14,140.22713852438213,142.94,143.27227517354146,144.19,144.53792508929317,144.42,144.7639058495942,146.77
A017250,고사리,A,0.1,비계절ETS,122.998201067986,123.09,123.08983516039793,123.36,123.37694678969133,124.19,124.25862981348713,124.43,124.51204814873878,124.46,124.53788079679434,126.12,126.28966718167675,126.88,127.09023155878546,127.28,127.49854423454863,127.34,127.54363251699394,127.02,127.18561823361773,126.77,126.90582274924527,126.78
A017270,단무지,A,0.2,비계절ETS,119.91501199808717,119.23,119.48949034232342,120.95,120.58718901888768,116.79,117.98393274152863,119.96,119.42057249867518,119.47,119.51544184270423,127.89,125.40442178753193,122.57,123.49424894852298,128.46,127.10986875387414,128.69,128.518407985829,129.58,129.6193288638099,126.66,127.86214411169405,128.32
A017280,김,A,0.5,비계절ETS,151.89990406263718,152.12,152.36750444183434,152.76,153.1268540188079,153.78,154.35460861334292,154.84,155.51540443504805,154.81,155.0650480508218,156.15,156.81355164329395,155.12,154.96728013074755,155.55,155.6644425314955,155.15,155.03539870999296,153.62,152.9450488625524,154.53,154.6118475673962,154.7
A017290,맛김,A,0.5,비계절ETS,130.6261087033646,129.27,129.39395805609487,129.64,129.47003907330625,129.12,129.04255122210586,129.78,129.62615770453706,130.68,130.67031531088654,132.42,132.57616324732834,131.95,132.421053009321,132.06,132.32584369432146,133.92,134.01986166085067,131.58,132.05865162920276,131.97,131.87225902548136,136.36
A017300,미역,A,0.3,비계절ETS,131.77413570254836,131.37,132.13594793194028,131.61,132.2665666852498,131.46,131.97165081097984,131.66,132.10446004976112,131.98,132.38720489143827,132.4,132.79182133331852,132.7,133.0615929353482,133.03,133.37146693563372,132.98,133.24900958446935,133.35,133.62206020579512,135.48,136.0038281344377,137.37
A018010,초콜릿,A,0.5,비계절ETS,165.1101593376495,163.45,165.0516584084556,163.74,165.20774217503592,163.04,164.33771725520404,163.37,164.5869985758855,163.66,164.81525494698693,163.86,164.9601447356287,162.53,163.508695916591,163.45,164.42124107801558,163.38,164.3020436405583,163.52,164.40570484014108,162.9,163.7226891081671,163.04
A018020,사탕,A,0.8,비계절ETS,115.81954352632755,115.05,115.38656652658521,115.96,115.83006686208228,115.26,115.52681153650242,115.33,115.46669012483605,114.8,115.21747236453528,116.39,116.00886097348022,115.02,115.4316525507831,111.16,112.70721429696512,115.73,114.7360113783684,115.83,115.50923015985067,117.01,116.54777695816483,117.1
A018030,껌,A,0.1,비계절ETS,116.5306818496568,116.42,116.5460343072982,116.47,116.58192232125471,116.47,116.58754409737465,116.5,116.60647558143692,117.02,116.98771924115331,116.52,116.730520141106,116.62,116.7231382590942,116.1,116.33697114261635,116.64,116.61403290533622,116.74,116.76567522289257,116.73,116.79995381137435,115.4
A018040,아이스크림,A,2.6,비계절ETS,128.59341694976206,127.9,128.20843464535423,128.23,128.53556489626027,128.03,128.30757706036042,128.42,128.69920696487034,128.31,128.56598671920185,128.02,127.99980520474,128.1,128.09682515051102,128.9,129.13909134133579,128.31,128.30188918868623,128.96,129.17301424453908,129.1,129.30560305080922,128.93
A018050,비스킷,A,1.9,비계절ETS,133.46466494305122,132.78,133.06395483362144,133.49,133.70065668031512,133.49,133.74360251768235,135.19,135.34401297270483,134.33,134.64624015199814,133.43,133.7396722982481,134.07,134.270303013493,134.39,134.6062446156048,134.08,134.33619726528414,133.75,134.00075713716734,134.29,134.4805172456691,135.57
A018060,스낵과자,A,2.9,비계절ETS,118.97306651370417,118.95,119.04931577152043,119.18,119.24933598827292,119.04,119.1741587589244,118.89,119.03794704172849,118.74,118.8899744448182,119.2,119.23281241292766,119.32,119.39521477747067,119.33,119.43402383966509,119.03,119.1985412011745,118.94,119.07998174052199,118.66,118.83030741284121,118.93
A018070,파이,A,0.6,비계절ETS,116.27710103910896,115.91,115.99300326323578,115.93,115.99454499550286,116.61,116.68173913430358,115.95,116.01435757909876,115.93,115.9672560615118,116.62,116.6667635039983,116.19,116.23903446946855,116.47,116.50702067756258,116.03,116.05933093066314,116.49,116.5131759484183,116.55,116.58366438250805,117.03
A018080,설탕,A,0.3,비계절ETS,148.14032232341637,148.21,148.31281580247213,148.28,148.36251854929637,147.56,147.5205307153852,147.45,147.40698304956848,147.4,147.36269911470046,148.03,148.08907613459874,147.97,148.00380490948768,142.1,141.33231855521893,141.67,141.07347176665573,140.29,139.67257129038558,141.04,140.70614204242273,142.94
