품목명,Tier,가중치,모델,MAPE%,품목코드,대분류
김,A,0.5,비계절ETS,0.5076893006787522,A017280,01 식료품 및 비주류음료
맛김,A,0.5,비계절ETS,0.9463991319554368,A017290,01 식료품 및 비주류음료
미역,A,0.3,비계절ETS,0.3742025542387288,A017300,01 식료품 및 비주류음료
초콜릿,A,0.5,비계절ETS,0.739815441849854,A018010,01 식료품 및 비주류음료
사탕,A,0.8,비계절ETS,1.1191582043648214,A018020,01 식료품 및 비주류음료
껌,A,0.1,비계절ETS,0.2774392620733702,A018030,01 식료품 및 비주류음료
아이스크림,A,2.6,비계절ETS,0.3314078703996275,A018040,01 식료품 및 비주류음료
비스킷,A,1.9,비계절ETS,0.4928436528859701,A018050,01 식료품 및 비주류음료
스낵과자,A,2.9,비계절ETS,0.1814337127913989,A018060,01 식료품 및 비주류음료
파이,A,0.6,비계절ETS,0.3304044255999759,A018070,01 식료품 및 비주류음료
설탕,A,0.3,비계절ETS,0.7233890332336141,A018080,01 식료품 및 비주류음료
잼,A,0.1,비계절ETS,1.7873059629770165,A018090,01 식료품 및 비주류음료
꿀,A,0.4,비계절ETS,0.2102564880952603,A018100,01 식료품 및 비주류음료
물엿,A,0.2,비계절ETS,3.3281331555949283,A018110,01 식료품 및 비주류음료
고춧가루,A,1.6,비계절ETS,0.4831314175970975,A019010,01 식료품 및 비주류음료
참깨,A,0.6,비계절ETS,0.2764698969721506,A019020,01 식료품 및 비주류음료
소금,A,0.2,비계절ETS,0.1483954953537265,A019040,01 식료품 및 비주류음료
간장,A,0.4,비계절ETS,1.1695416345748464,A019050,01 식료품 및 비주류음료
된장,A,0.4,비계절ETS,2.32311245689106,A019060,01 식료품 및 비주류음료
양념소스,A,0.5,비계절ETS,2.229615218818815,A019070,01 식료품 및 비주류음료
고추장,A,0.3,비계절ETS,1.7862004869227677,A019080,01 식료품 및 비주류음료
카레,A,0.2,비계절ETS,0.716322386796337,A019090,01 식료품 및 비주류음료
식초,A,0.1,비계절ETS,0.7271339781446983,A019100,01 식료품 및 비주류음료
드레싱,A,0.2,비계절ETS,0.7754698410173718,A019110,01 식료품 및 비주류음료
혼합조미료,A,0.3,비계절ETS,1.1561948345368358,A019120,01 식료품 및 비주류음료
스프,A,0.3,비계절ETS,0.306813233287417,A019130,01 식료품 및 비주류음료
이유식,A,0.3,비계절ETS,0.0896945351728756,A019140,01 식료품 및 비주류음료
김치,A,1.3,비계절ETS,0.4495613434446695,A019150,01 식료품 및 비주류음료
밑반찬,A,3.1,비계절ETS,0.2864674993301978,A019160,01 식료품 및 비주류음료
냉동식품,A,1.9,비계절ETS,1.3222100476160497,A019170,01 식료품 및 비주류음료
즉석식품,A,3.1,비계절ETS,0.9870921710473852,A019180,01 식료품 및 비주류음료
편의점도시락,A,0.4,비계절ETS,0.2705418356215804,A019190,01 식료품 및 비주류음료
삼각김밥,A,0.4,비계절ETS,0.1659770571065939,A019200,01 식료품 및 비주류음료
커피,A,2.6,비계절ETS,0.6036197037343427,A021010,01 식료품 및 비주류음료
차,A,0.9,비계절ETS,3.1642804409573144,A021020,01 식료품 및 비주류음료
주스,A,1.4,비계절ETS,0.3100725243156513,A022010,01 식료품 및 비주류음료
두유,A,0.8,비계절ETS,0.9504654182856436,A022020,01 식료품 및 비주류음료
생수,A,1.3,비계절ETS,0.3022667381922889,A022030,01 식료품 및 비주류음료
기능성음료,A,0.5,비계절ETS,0.3386521983279415,A022040,01 식료품 및 비주류음료
탄산음료,A,1.6,비계절ETS,1.706364293831827,A022050,01 식료품 및 비주류음료
기타음료,A,0.6,비계절ETS,1.2774060328267396,A022060,01 식료품 및 비주류음료
소주,A,1.7,비계절ETS,0.0774621197252706,B011010,02 주류 및 담배
과실주,A,0.8,비계절ETS,2.108544991046126,B011020,02 주류 및 담배
맥주,A,3.0,비계절ETS,0.1461698371967805,B011030,02 주류 및 담배
막걸리,A,0.5,비계절ETS,0.1302538902989838,B011040,02 주류 및 담배
양주,A,0.4,비계절ETS,3.4363489964466907,B011050,02 주류 및 담배
약주,A,0.1,비계절ETS,0.0751371578210798,B011060,02 주류 및 담배
남자외의,A,4.4,비계절ETS,0.2073498626066315,C011010,03 의류 및 신발
남자상의,A,1.5,비계절ETS,0.2459017781344109,C011020,03 의류 및 신발
남자하의,A,1.3,비계절ETS,0.1772263409640938,C011030,03 의류 및 신발
남자내의,A,0.7,비계절ETS,0.14183211410224,C011040,03 의류 및 신발
여자외의,A,6.2,비계절ETS,0.422141763085792,C012010,03 의류 및 신발
원피스,A,1.8,비계절ETS,0.6659681016094727,C012020,03 의류 및 신발
여자상의,A,1.5,비계절ETS,0.2432733789680281,C012030,03 의류 및 신발
