품목코드,품목명,Tier,가중치,MAPE_비계절ETS,MAPE_계절ETS,MAPE_계단평균,MAPE_완전동결,최선방식,상대개선,채택방식
E011080,싱크대,A,1.3,2.038953375611371,2.011040374790926,2.4941411462605663,1.9246141587166141,완전동결,0.05607740631169308,비계절ETS
E021010,침구,A,2.6,0.3498572916976817,0.3867924601326703,0.7510987076896608,0.2025052614902096,완전동결,0.4211775306795715,완전동결
E031050,냉장고,A,2.4,1.5805664179476608,1.5880591018786347,1.6327475093380628,1.6782705808943854,비계절ETS,0.0,비계절ETS
E031060,김치냉장고,A,1.1,1.010947686034312,1.0555352478545978,1.1484268423334105,0.9839396989063554,완전동결,0.026715514067698305,비계절ETS
E031070,에어컨,A,1.5,1.101326761945475,1.1235412709071853,1.1304765449358123,1.0950373436192828,완전동결,0.005710765000463595,비계절ETS
E031100,세탁기,A,1.0,0.8554083423926069,0.9127861876873102,1.076695282478206,0.8521511774160723,완전동결,0.0038077311327408925,비계절ETS
E031110,의류건조기,A,1.1,0.8913561479261723,1.0789485915414567,1.11497886755733,0.8915084940183238,비계절ETS,0.0,비계절ETS
E031130,청소기,A,1.1,1.212901575991431,1.3567621713557552,1.684916041558467,1.2377700459052947,비계절ETS,0.0,비계절ETS
E032010,가전제품수리비,A,2.4,2.1565928238325025,2.0830245199890958,2.035686826657393,1.9900454741373117,완전동결,0.07722707219215255,비계절ETS
E032020,가전제품렌탈비,A,2.5,0.28045049894468277,0.43065221375479346,0.7167237241941268,0.2687393703452184,완전동결,0.041758273362082106,비계절ETS
E051010,보일러,A,1.5,0.06782930303955327,0.13097001768333688,0.4532495803088598,0.061992515122281634,완전동결,0.08605112622000602,비계절ETS
E051030,소형가사용품,A,1.3,1.4401037446499694,1.4362360763240138,1.3706312215826395,1.4480970864142346,계단평균,0.0482413321438976,비계절ETS
E061010,세탁세제,A,1.7,2.000928987429178,2.0807549991434526,2.298822018936063,2.112599376648663,비계절ETS,0.0,비계절ETS
E061080,키친타월,A,1.0,2.037319252592937,2.134643407593841,2.990605058960176,2.391902157392413,비계절ETS,0.0,비계절ETS
E062010,가사도우미료,A,2.4,0.1930877317569401,0.1949384528767095,0.17271437235564913,0.2363556943374162,계단평균,0.10551348454875982,비계절ETS
E062020,간병도우미료,A,2.6,0.26504129897591994,0.20866832039902536,0.2882064703018083,0.33018388996457804,계절ETS,0.2126950735402798,계절ETS
F011090,조제약,A,5.8,0.11206688874114164,0.1993805760536506,0.1273378172957625,0.10901239680409856,완전동결,0.027255971601910987,비계절ETS
F011100,한방약,A,2.7,0.20104153302324812,0.21105738396430118,0.27827937665888414,0.2485899070848775,비계절ETS,0.0,비계절ETS
F011120,홍삼,A,1.1,1.7943880334861917,2.144265643317707,2.446275827711695,1.8521696336963374,비계절ETS,0.0,비계절ETS
F011130,비타민제,A,1.2,0.06733002734186525,0.07733910682344657,0.14140055815006713,0.08407060909702935,비계절ETS,0.0,비계절ETS
F011140,건강기능식품,A,6.5,0.24632690876601934,0.42668805419532296,0.5119565916423601,0.23384485650284792,완전동결,0.050672711015213756,비계절ETS
F011150,유산균,A,1.2,1.6381072452831642,2.2073507157090573,2.3357514549844254,1.361128058013887,완전동결,0.16908489237613897,완전동결
F011160,병원약품,A,3.5,0.11684328281237662,0.13977611763383274,0.14838885489824083,0.11348251646831502,완전동결,0.028763025679946156,비계절ETS
F012010,종이기저귀,A,1.4,0.5639345574107673,0.5461151722088131,1.1389175126971738,0.6680889994120109,계절ETS,0.03159832106010589,비계절ETS
F012020,생리대,A,1.0,2.6650033169796865,2.694716660673758,3.259655211358796,3.198059056515801,비계절ETS,0.0,비계절ETS
F012030,마스크,A,1.6,0.22539951056119745,1.4808308003027038,1.0168232739389524,0.20523713745311817,완전동결,0.089451716456168,비계절ETS
F012050,안경,A,1.0,0.11476060498802877,0.11573204193703052,0.14265426025863787,0.11464131010986707,완전동결,0.0010395107116605586,비계절ETS
F012060,콘택트렌즈,A,1.4,0.37906109138309996,0.39584948947642146,0.5410879360350577,0.4188680781957151,비계절ETS,0.0,비계절ETS
F012090,건강기기렌탈비,A,1.5,1.9488648213633233,2.0590133454679753,2.038037088480773,1.8272223929534366,완전동결,0.062417068170378315,비계절ETS
F012100,치료재료,A,1.5,0.34567644817909476,0.4223584716616695,0.45525250813206386,0.33916003276209544,완전동결,0.018851198718702323,비계절ETS
F021020,건강검진비,A,1.2,0.17705156647311104,0.14199530668939414,0.13594813349691864,0.16302081274267075,계단평균,0.2321551500219842,계단평균
F022020,치과보철료,A,6.8,0.2179687018853036,0.311681873942695,0.18754533988594882,0.22229334790819608,계단평균,0.1395767453593577,비계절ETS
F031020,병원검사료,A,1.1,0.21608544141905,0.7376419404973323,1.3544548050215428,0.1526378477514844,완전동결,0.29362271354747593,완전동결
G011010,소형승용차,A,1.0,0.2591836329012208,0.3665913453101038,0.4824263635559,0.23469608230972347,완전동결,0.09447954069240923,비계절ETS
G011020,중형승용차,A,1.0,0.49592194866568684,0.587505913448029,0.7531759871791158,0.49303433568951077,완전동결,0.005822716626972038,비계절ETS
G011030,대형승용차,A,3.2,0.9140370818347665,0.9175936156324097,1.190489650473132,0.8890773985416165,완전동결,0.0273070795366944,비계절ETS
G011050,다목적승용차,A,7.7,0.30602799276466364,0.3241062817500705,0.4798705889853261,0.3013001096472639,완전동결,0.015449185137241677,비계절ETS
G011060,수입승용차,A,9.3,1.126101204381225,1.2161255031989138,1.1966942154547833,1.126508303297995,비계절ETS,0.0,비계절ETS
G011070,전기동력차,A,5.1,0.9205180316879453,0.9528342775405763,0.8810051665958578,0.8100380095630844,완전동결,0.12001940029602112,비계절ETS
G022040,자동차수리비,A,6.3,0.29020581584649946,0.2647832872204133,0.23792723443593697,0.3595905477254028,계단평균,0.18014312104005026,계단평균
G022050,엔진오일교체료,A,1.0,0.7573092238182092,0.7462609955320157,0.610298972777426,0.7504881060765949,계단평균,0.19412182820061996,계단평균
G023020,주차료,A,1.2,0.19455233431164243,0.1987928885901171,0.39427741782709264,0.1879444576740839,완전동결,0.03396451993720997,비계절ETS
G034010,이삿짐운송료,A,1.0,0.398493124312356,0.23807029138694064,0.2042226094845071,0.45085109465657713,계단평균,0.4875128401853462,계단평균
G034020,택배이용료,A,1.9,0.15920190838470533,0.18737384648957783,0.3383556405522462,0.14632111233757567,완전동결,0.0809085530306817,비계절ETS
I011010,TV,A,1.9,1.3262479928120254,2.065551532120993,1.712596519579759,1.281914940489381,완전동결,0.03342742274666568,비계절ETS
I012010,컴퓨터,A,3.0,1.5631174411788427,1.732946452539898,1.7292812972974745,1.5156832674175051,완전동결,0.030345879658002214,비계절ETS
I012030,휴대용멀티미디어기기,A,1.2,0.9392046856723986,1.309345257409927,1.4729741081050947,0.9330844829251488,완전동결,0.006516367348474401,비계절ETS
I021020,헬스기구,A,1.1,1.2339082650417104,1.3179052747655902,1.4453718661244546,1.1671407448506477,완전동결,0.0541106029375739,비계절ETS
I031010,장난감,A,2.9,0.7878419943547157,0.7678352224198446,0.8796957881999746,0.8367216544247724,계절ETS,0.025394396437648275,비계절ETS
