품목코드,품목명,Tier,가중치,모델,pred_2026-08
F011040,위장약,A,0.2,비계절ETS,108.03762696575515
F011050,진해거담제,A,0.2,비계절ETS,115.23549184040837
F011060,소염진통제,A,0.6,비계절ETS,115.43748688813646
F011070,피부질환제,A,0.3,비계절ETS,115.2846059553115
F011080,치과구강용약,A,0.3,비계절ETS,111.86859842817493
F011090,조제약,A,5.8,비계절ETS,92.403317127532
F011100,한방약,A,2.7,비계절ETS,134.5167365126964
F011110,인삼,A,0.3,비계절ETS,130.73011700003414
F011120,홍삼,A,1.1,비계절ETS,108.80813787066681
F011130,비타민제,A,1.2,비계절ETS,113.4491489193702
F011140,건강기능식품,A,6.5,비계절ETS,102.69047212125416
F011150,유산균,A,1.2,비계절ETS,101.19286160941586
F011160,병원약품,A,3.5,비계절ETS,92.15845537700893
F012010,종이기저귀,A,1.4,비계절ETS,116.78139509705639
F012020,생리대,A,1.0,비계절ETS,109.85543806424342
F012030,마스크,A,1.6,비계절ETS,70.81494049509347
F012040,반창고,A,0.1,비계절ETS,103.28274373579283
F012050,안경,A,1.0,비계절ETS,101.88077180909072
F012060,콘택트렌즈,A,1.4,비계절ETS,106.13260300676332
F012070,의료측정기,A,0.2,비계절ETS,99.5886501985322
F012080,보청기,A,0.6,비계절ETS,102.9145091646133
F012090,건강기기렌탈비,A,1.5,비계절ETS,118.10175683092085
F012100,치료재료,A,1.5,비계절ETS,101.86998543108655
F021020,건강검진비,A,1.2,비계절ETS,108.70398943735451
F022020,치과보철료,A,6.8,비계절ETS,107.2756303261021
F031020,병원검사료,A,1.1,비계절ETS,63.443930337595184
G011010,소형승용차,A,1.0,비계절ETS,107.95722222054503
G011020,중형승용차,A,1.0,비계절ETS,104.29611082458966
G011030,대형승용차,A,3.2,비계절ETS,115.41101921630492
G011040,경승용차,A,0.6,비계절ETS,108.25491598226488
G011050,다목적승용차,A,7.7,비계절ETS,112.91189495792271
G011060,수입승용차,A,9.3,비계절ETS,107.4319382553574
G011070,전기동력차,A,5.1,비계절ETS,106.24511997230783
G011080,자전거,A,0.5,비계절ETS,139.33640784367535
G022010,자동차용품,A,0.9,비계절ETS,116.58722594287703
G022020,블랙박스,A,0.2,비계절ETS,102.11112570918175
G022030,자동차타이어,A,0.9,비계절ETS,121.11145378806151
G022040,자동차수리비,A,6.3,비계절ETS,125.29348597219759
G022050,엔진오일교체료,A,1.0,비계절ETS,157.25218537701505
G022060,세차료,A,0.5,비계절ETS,141.38911327549448
G023010,자동차학원비,A,0.5,비계절ETS,116.3932145206337
G023020,주차료,A,1.2,비계절ETS,113.12537820646682
G023040,승용차임차료,B,3.2,계절ETS,91.44460277538732
G023050,대리운전이용료,A,0.4,비계절ETS,138.59830993467037
G023060,자동차검사료,A,0.3,비계절ETS,100.0
G033010,국내항공료,B,1.0,계절ETS,137.98754024782886
G033030,여객선료,A,0.2,비계절ETS,131.64231119559136
G034010,이삿짐운송료,A,1.0,비계절ETS,136.798733368454
G034020,택배이용료,A,1.9,비계절ETS,114.67390166178404
H021010,휴대전화기,A,10.4,비계절ETS,101.70097854756834
H031040,휴대전화기수리비,A,0.4,비계절ETS,107.77495972153062
I011010,TV,A,1.9,비계절ETS,88.15462067341487
I011020,영상음향기기,A,0.9,비계절ETS,100.18720053874125
I012010,컴퓨터,A,3.0,비계절ETS,117.01897372545973
