품목코드,품목명,Tier,가중치,모델,pred_2025-08,actual_2025-08,raw_pred_2025-08,pred_2025-09,actual_2025-09,raw_pred_2025-09,pred_2025-10,actual_2025-10,raw_pred_2025-10,pred_2025-11,actual_2025-11,raw_pred_2025-11,pred_2025-12,actual_2025-12,raw_pred_2025-12,pred_2026-01,actual_2026-01,raw_pred_2026-01,pred_2026-02,actual_2026-02,raw_pred_2026-02,pred_2026-03,actual_2026-03,raw_pred_2026-03,pred_2026-04,actual_2026-04,raw_pred_2026-04,pred_2026-05,actual_2026-05,raw_pred_2026-05,pred_2026-06,actual_2026-06,raw_pred_2026-06,pred_2026-07,actual_2026-07,raw_pred_2026-07
A016170,아보카도,B,0.1,계절ETS,85.88262886121532,89.18,85.88262886121532,91.43502849559788,92.96,91.43502849559788,97.950920091465,95.39,97.950920091465,97.2318925356346,92.4,97.2318925356346,92.2318068776702,98.66,92.2318068776702,99.64434091467643,106.44,99.64434091467643,112.54972567229603,103.87,112.54972567229603,113.7242778107563,108.75,113.7242778107563,113.17185200781744,117.46,113.17185200781744,115.27907706023731,105.98,115.27907706023731,97.52533164305471,98.28,97.52533164305471,87.6392749348603,82.87,87.6392749348603
A016180,파인애플,B,0.2,계절ETS,120.47202204585228,121.75,120.47202204585228,132.5373327535924,132.35,132.5373327535924,136.06590283073757,136.88,136.06590283073757,132.15811195750803,125.23,132.15811195750803,117.16476997402974,124.07,117.16476997402974,122.32399105712864,129.05,122.32399105712864,130.71987307884774,125.26,130.71987307884774,125.23246659737435,121.03,125.23246659737435,123.72507903038624,118.79,123.72507903038624,119.37063589128148,116.81,119.37063589128148,116.69137548181013,118.34,116.69137548181013,116.78522163665542,117.51,116.78522163665542
A017010,배추,B,1.3,계절ETS,128.35951073004196,152.69,128.35951073004196,172.18750619250054,158.24,172.18750619250054,135.35784170230116,136.62,135.35784170230116,100.40173221806424,102.26,100.40173221806424,105.69940060697968,109.68,105.69940060697968,118.85766434254612,107.81,118.85766434254612,112.24751970186966,107.95,112.24751970186966,116.55465124152742,105.81,116.55465124152742,110.62200307029616,99.2,110.62200307029616,87.85650553868314,82.96,87.85650553868314,74.74684795513863,81.7,74.74684795513863,93.68047159712488,82.23,93.68047159712488
A017020,상추,B,0.6,계절ETS,174.3619345062108,155.01,174.3619345062108,171.1214579842193,165.7,171.1214579842193,141.90006474748128,172.82,141.90006474748128,119.49865193014617,142.11,119.49865193014617,110.78780801695038,105.64,110.78780801695038,126.36518164411387,134.04,126.36518164411387,119.47165830478676,122.11,119.47165830478676,111.07504305359762,95.22,111.07504305359762,103.89465384134373,90.94,103.89465384134373,100.93137763609845,89.7,100.93137763609845,100.2449521571119,98.61,100.2449521571119,140.2181671726873,115.69,140.2181671726873
A017030,시금치,B,0.3,계절ETS,249.64240727436243,244.41,249.64240727436243,287.87561940957096,267.4,287.87561940957096,147.57047955997703,188.04,147.57047955997703,106.17031511707629,147.74,106.17031511707629,102.59843018301532,121.84,102.59843018301532,123.8928108805645,118.31,123.8928108805645,134.5892957675864,130.13,134.5892957675864,113.31880520414198,91.3,113.31880520414198,93.4244415998462,73.72,93.4244415998462,91.55698744147809,81.14,91.55698744147809,100.64676452144398,89.43,100.64676452144398,163.41024608477792,127.7,163.41024608477792
A017040,양배추,B,0.2,계절ETS,100.6338435835072,101.27,100.6338435835072,105.14032293543454,100.56,105.14032293543454,101.25282414240078,93.31,101.25282414240078,88.29662452776815,89.72,88.29662452776815,87.62568115775562,90.97,87.62568115775562,93.38501519606142,92.45,93.38501519606142,91.91287616598522,93.08,91.91287616598522,91.78092490450248,90.0,91.78092490450248,88.87560289358129,74.07,88.87560289358129,78.2595222512251,70.72,78.2595222512251,63.49023446121201,73.58,63.49023446121201,67.9968021674868,74.91,67.9968021674868
A017050,미나리,B,0.2,계절ETS,153.9454854515483,150.13,153.9454854515483,185.229579089632,163.25,185.229579089632,154.11354056960548,173.42,154.11354056960548,158.07776514343757,156.31,158.07776514343757,166.4601693785499,164.58,166.4601693785499,182.40367486842032,180.12,182.40367486842032,185.1578878886554,196.06,185.1578878886554,163.03824061948367,154.5,163.03824061948367,132.87825596717673,127.23,132.87825596717673,117.06886927047113,109.91,117.06886927047113,109.55002402847302,109.64,109.55002402847302,120.1402484716057,109.98,120.1402484716057
A017060,깻잎,B,0.2,계절ETS,137.45551957453495,143.52,137.45551957453495,155.06980402932928,148.08,155.06980402932928,136.56526668672907,146.5,136.56526668672907,116.98206761097072,133.05,116.98206761097072,117.86137113356996,111.82,117.86137113356996,147.0107848068145,142.57,147.0107848068145,141.41931965266397,138.83,141.41931965266397,128.94495982760586,117.59,128.94495982760586,115.50229784583075,106.07,115.50229784583075,112.47679686002074,109.19,112.47679686002074,104.21880211908116,102.01,104.21880211908116,109.1270152065278,98.61,109.1270152065278
A017070,부추,B,0.2,계절ETS,123.43011668014448,117.51,123.43011668014448,117.1537315189505,116.34,117.1537315189505,102.5798423099924,117.7,102.5798423099924,142.1453674229676,189.8,142.1453674229676,188.7502203084516,180.68,188.7502203084516,191.53172110540737,139.86,191.53172110540737,164.8353112086943,180.38,164.8353112086943,143.368899067357,140.15,143.368899067357,107.04186376669108,114.58,107.04186376669108,95.65662897500238,85.72,95.65662897500238,83.56494138167764,74.23,83.56494138167764,91.22094132788038,72.84,91.22094132788038
A017080,무,B,0.6,계절ETS,126.28033729335648,115.27,126.28033729335648,123.36640697935071,102.99,123.36640697935071,93.28448949491226,100.89,93.28448949491226,80.82210985988164,99.67,80.82210985988164,98.25514790647978,108.37,98.25514790647978,107.18143324885044,97.34,107.18143324885044,95.94110014549788,97.59,95.94110014549788,97.66202472662698,92.31,97.66202472662698,92.35823259283563,82.45,92.35823259283563,85.81132178913435,95.48,85.81132178913435,91.38117267707254,94.15,91.38117267707254,101.73287810206796,95.67,101.73287810206796
