품목명,Tier,가중치,MAPE_보정전,MAPE_보정후,개선
전기밥솥,A,0.5,1.4446592280166428,1.5557431169429556,-0.11108388892631282
가스레인지,A,0.4,0.9673510633130662,0.9673510633130662,0.0
전자레인지,A,0.1,0.9802893025183687,0.9802893025183687,0.0
전기레인지,A,0.2,0.8855358421860051,0.9808153936089241,-0.095279551422919
냉장고,A,2.4,2.3293705210907945,2.3884975635690293,-0.05912704247823486
김치냉장고,A,1.1,1.4171818568177892,1.4511970494829032,-0.03401519266511399
에어컨,A,1.5,0.7828088301019115,0.7664825658701797,0.01632626423173178
선풍기,A,0.4,2.2972252467254584,2.2972252467254584,0.0
공기청정기,A,0.6,0.8608270029548781,0.8908892742796548,-0.03006227132477668
세탁기,A,1.0,0.6657845153978735,0.6486977853627711,0.017086730035102415
의류건조기,A,1.1,1.2045262424077883,1.4299794934338654,-0.22545325102607716
식기세척기,A,0.2,1.056056866338887,1.1502600740259439,-0.09420320768705692
청소기,A,1.1,0.9530542755594307,0.9530542755594307,0.0
소형주방가전,A,0.8,2.0120401016816913,2.076284383704877,-0.06424428202318566
보온매트,A,0.4,0.4436053620618085,0.4379937893616303,0.005611572700178202
가전제품수리비,A,2.4,2.5039936192327596,2.5039936192327596,0.0
가전제품렌탈비,A,2.5,0.1531329533192352,0.15701159953343113,-0.0038786462141959244
식기,A,0.8,2.267517815116493,2.41339848441293,-0.14588066929643695
컵,A,0.5,1.003960122689349,1.0745168204401039,-0.0705566977507548
솥,A,0.2,2.5613736783736263,2.6725196525951347,-0.1111459742215084
프라이팬,A,0.6,2.9372279360731177,2.9372279360731177,0.0
냄비,A,0.5,2.3994918891743975,2.3994918891743975,0.0
수저,A,0.3,1.6733913935021203,1.6733913935021203,0.0
밀폐용기,A,0.7,2.6327270049477995,2.6327270049477995,0.0
부엌용용구,A,0.4,1.1498153814911645,1.1498153814911645,0.0
보일러,A,1.5,0.025926612989311894,0.025926612989311894,0.0
건전지,A,0.3,0.8966027401335829,0.9001303500061684,-0.003527609872585491
소형가사용품,A,1.3,1.6960186935690544,1.6960186935690544,0.0
세탁세제,A,1.7,2.242424121777851,2.242424121777851,0.0
