월,분류,방식,예측,실제,오차,오차%
2025-03,12 기타 상품 및 서비스,바텀업,123.51635987387988,123.52,-0.0036401261201177704,-0.0029469932967274696
2025-04,01 식료품 및 비주류음료,탑다운,127.29483319891584,126.48,0.814833198915835,0.6442387720713433
2025-04,02 주류 및 담배,탑다운,104.66203628003714,104.79,-0.12796371996286382,-0.12211443836517206
2025-04,03 의류 및 신발,탑다운,115.75094114707598,115.92,-0.16905885292402445,-0.14584097043135305
2025-04,"04 주택, 수도, 전기 및 연료",탑다운,116.41722220115727,116.24,0.17722220115727794,0.15246232033489154
2025-04,05 가정용품 및 가사 서비스,탑다운,116.43052155785246,117.97,-1.5394784421475407,-1.3049745207659071
2025-04,06 보건,탑다운,105.28705260152739,105.53,-0.2429473984726087,-0.23021642989918384
2025-04,07 교통,탑다운,115.900483576769,114.55,1.3504835767690082,1.1789468151628182
2025-04,08 통신,탑다운,101.51553928595484,101.34,0.1755392859548408,0.17321816257631814
2025-04,09 오락 및 문화,탑다운,109.3383536952374,109.86,-0.5216463047625979,-0.47482824027179854
2025-04,10 교육,탑다운,108.39805646409788,108.67,-0.2719435359021247,-0.2502471113482329
2025-04,11 음식 및 숙박,탑다운,123.6883828897243,123.99,-0.30161711027569993,-0.2432592227403016
2025-04,12 기타 상품 및 서비스,탑다운,123.75566977804976,124.98,-1.2243302219502397,-0.9796209169068968
2025-04,01 식료품 및 비주류음료,바텀업,126.12778290227212,126.48,-0.35221709772788756,-0.27847651623014513
2025-04,02 주류 및 담배,바텀업,104.74681371086419,104.79,-0.0431862891358179,-0.041212223624217864
2025-04,03 의류 및 신발,바텀업,115.83076591655856,115.92,-0.0892340834414398,-0.07697902298260852
2025-04,"04 주택, 수도, 전기 및 연료",바텀업,116.09713307644236,116.24,-0.14286692355763364,-0.12290685096148798
2025-04,05 가정용품 및 가사 서비스,바텀업,116.90188838219719,117.97,-1.0681116178028134,-0.9054095259835665
2025-04,06 보건,바텀업,105.8352233177562,105.53,0.3052233177562016,0.2892289564637559
2025-04,07 교통,바텀업,114.89887482967067,114.55,0.3488748296706774,0.30456117823716927
2025-04,08 통신,바텀업,101.24379558190353,101.34,-0.09620441809647673,-0.09493232494225057
2025-04,09 오락 및 문화,바텀업,109.79851385661567,109.86,-0.061486143384328784,-0.05596772563656362
2025-04,10 교육,바텀업,108.59912874688004,108.67,-0.0708712531199609,-0.06521694406916435
2025-04,11 음식 및 숙박,바텀업,123.63630980947087,123.99,-0.35369019052912165,-0.28525702921939
2025-04,12 기타 상품 및 서비스,바텀업,123.8744696723334,124.98,-1.1055303276665995,-0.8845657926601053
2025-05,01 식료품 및 비주류음료,탑다운,126.22285809253079,124.78,1.4428580925307841,1.156321600040699
2025-05,02 주류 및 담배,탑다운,104.72094592227556,104.75,-0.029054077724438798,-0.027736589713068062
2025-05,03 의류 및 신발,탑다운,116.86990035420035,116.23,0.6399003542003499,0.5505466352923942
2025-05,"04 주택, 수도, 전기 및 연료",탑다운,116.43130413051315,116.47,-0.038695869486844,-0.03322389412453336
2025-05,05 가정용품 및 가사 서비스,탑다운,118.00775423615863,118.15,-0.14224576384137322,-0.12039421400031587
2025-05,06 보건,탑다운,105.53495835349388,105.56,-0.025041646506124948,-0.023722666261959974
2025-05,07 교통,탑다운,114.7251498355791,114.28,0.4451498355791017,0.3895255824108345
2025-05,08 통신,탑다운,101.22195246750096,101.34,-0.1180475324990482,-0.11648661189959364
2025-05,09 오락 및 문화,탑다운,109.90314482961381,110.14,-0.23685517038619253,-0.21504918320881836
2025-05,10 교육,탑다운,108.76181961926449,108.74,0.021819619264491052,0.020065862851288443
2025-05,11 음식 및 숙박,탑다운,124.36295268404638,124.35,0.012952684046382501,0.01041631205981705
2025-05,12 기타 상품 및 서비스,탑다운,125.22075020866288,124.94,0.28075020866288014,0.22470802678316004
2025-05,01 식료품 및 비주류음료,바텀업,125.60617942682379,124.78,0.826179426823785,0.662108853040379
2025-05,02 주류 및 담배,바텀업,104.87903710885135,104.75,0.12903710885134956,0.1231857841063003
2025-05,03 의류 및 신발,바텀업,115.88723633836088,116.23,-0.3427636616391254,-0.2949011973149147
2025-05,"04 주택, 수도, 전기 및 연료",바텀업,116.08087949723317,116.47,-0.3891205027668292,-0.33409504831014786
2025-05,05 가정용품 및 가사 서비스,바텀업,118.14319142934218,118.15,-0.006808570657824475,-0.005762649731548434
2025-05,06 보건,바텀업,105.93197196009362,105.56,0.3719719600936173,0.352379651471786
2025-05,07 교통,바텀업,114.93260488315158,114.28,0.6526048831515823,0.5710578256489169
2025-05,08 통신,바텀업,101.24383793524143,101.34,-0.09616206475857325,-0.09489053163466869
2025-05,09 오락 및 문화,바텀업,110.38206888052622,110.14,0.24206888052621878,0.21978289497568437
